;;;year
UWBCS (Wisconsin);van den Broek JJ, van Ravesteyn NT, Mandelblatt JS, Cevik M, Schechter CB, Lee SJ, Huang H, Li Y, Munoz DF, Plevritis SK, de Koning HJ, et al., Comparing CISNET Breast Cancer Models Using the Maximum Clinical Incidence Reduction Methodology, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554471;2018
UWBCS (Wisconsin);Alagoz O, Berry DA, de Koning HJ, Feuer EJ, Lee SJ, Plevritis SK, Schechter CB, Stout NK, Trentham-Dietz A, Mandelblatt JS, Introduction to the Cancer Intervention and Surveillance Modeling Network (CISNET) Breast Cancer Models, Med Decis Making, April 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29554472;2018
UWBCS (Wisconsin);Plevritis SK, Munoz D, Kurian AW, Stout NK, Alagoz O, Near AM, Lee SJ, van den Broek JJ, Huang X, Schechter CB, Sprague BL, et al., Association of Screening and Treatment With Breast Cancer Mortality by Molecular Subtype in US Women, 2000-2012, JAMA, Jan. 9, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29318276;2018
MISCAN-Colon (Erasmus/MSK);Hadjiliadis D, Khoruts A, Zauber AG, Hempstead SE, Maisonneuve P, Lowenfels AB, Cystic Fibrosis Colorectal Cancer Screening Consensus Recommendations, Gastroenterology, Feb. 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29289528;2018
MISCAN-Colon (Erasmus/MSK);Naber SK, Kuntz KM, Henrikson NB, Williams MS, Calonge N, Goddard KAB, Zallen DT, Ganiats TG, Webber EM, Janssens ACJW, van Ballegooijen M, et al., Cost Effectiveness of Age-Specific Screening Intervals for People With Family Histories of Colorectal Cancer, Gastroenterology, Jan. 1, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28964749;2018
MISCAN-PRO (Erasmus);de Koning HJ, Gulati R, Moss SM, Hugosson J, Pinsky PF, Berg CD, Auvinen A, Andriole GL, Roobol MJ, Crawford ED, Nelen V, et al., The efficacy of prostate-specific antigen screening: Impact of key components in the ERSPC and PLCO trials, Cancer, March 15, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29211316;2018
PSAPC (FHCRC);de Koning HJ, Gulati R, Moss SM, Hugosson J, Pinsky PF, Berg CD, Auvinen A, Andriole GL, Roobol MJ, Crawford ED, Nelen V, et al., The efficacy of prostate-specific antigen screening: Impact of key components in the ERSPC and PLCO trials, Cancer, March 15, 2018 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29211316;2018
Spectrum/G-E (Georgetown/Einstein);Lieu TA, Ray GT, Prausnitz SR, Habel LA, Alexeeff S, Li Y, Ramsey SD, Phelps CE, Chawla N, C O'Neill S, Mandelblatt JS, et al., Oncologist and organizational factors associated with variation in breast cancer multigene testing, Breast Cancer Res Treat, May 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28224383;2017
Spectrum/G-E (Georgetown/Einstein);Mandelblatt JS, Ramsey SD, Lieu TA, Phelps CE, Evaluating Frameworks That Provide Value Measures for Health Care Interventions, Value Health, Feb. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28237193;2017
UWBCS (Wisconsin);Rutter CM, Kim JJ, Meester RGS, Sprague BL, Burger EA, Zauber AG, Ergun MA, Campos NG, Doubeni CA, Trentham-Dietz A, Sy S, et al., Effect of Time to Diagnostic Testing for Breast, Cervical, and Colorectal Cancer Screening Abnormalities on Screening Efficacy: A Modeling Study, Cancer Epidemiol Biomarkers Prev, Nov. 17, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29150480;2017
HSPH-Cervical (Harvard);Rutter CM, Kim JJ, Meester RGS, Sprague BL, Burger EA, Zauber AG, Ergun MA, Campos NG, Doubeni CA, Trentham-Dietz A, Sy S, et al., Effect of Time to Diagnostic Testing for Breast, Cervical, and Colorectal Cancer Screening Abnormalities on Screening Efficacy: A Modeling Study, Cancer Epidemiol Biomarkers Prev, Nov. 17, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29150480;2017
Policy1-Cervix (CCNSW);Velentzis LS, Caruana M, Simms KT, Lew JB, Shi JF, Saville M, Smith MA, Lord SJ, Tan J, Bateson D, Quinn M, et al., How will transitioning from cytology to HPV testing change the balance between the benefits and harms of cervical cancer screening? Estimates of the impact on cervical cancer, treatment rates and adverse obstetric outcomes in Australia, a high vaccination coverage country, Int J Cancer, Dec. 15, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28801947;2017
Policy1-Cervix (CCNSW);Lew JB, Simms KT, Smith MA, Hall M, Kang YJ, Xu XM, Caruana M, Velentzis LS, Bessell T, Saville M, Hammond I, et al., Primary HPV testing versus cytology-based cervical screening in women in Australia vaccinated for HPV and unvaccinated: effectiveness and economic assessment for the National Cervical Screening Program, Lancet Public Health, Feb. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29253402;2017
Policy1-Cervix (CCNSW);Simms KT, Hall M, Smith MA, Lew JB, Hughes S, Yuill S, Hammond I, Saville M, Canfell K, Optimal Management Strategies for Primary HPV Testing for Cervical Screening: Cost-Effectiveness Evaluation for the National Cervical Screening Program in Australia, PLoS One, Jan. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28095411;2017
CRC-SPIN (RAND);Rutter CM, Kim JJ, Meester RGS, Sprague BL, Burger EA, Zauber AG, Ergun MA, Campos NG, Doubeni CA, Trentham-Dietz A, Sy S, et al., Effect of Time to Diagnostic Testing for Breast, Cervical, and Colorectal Cancer Screening Abnormalities on Screening Efficacy: A Modeling Study, Cancer Epidemiol Biomarkers Prev, Nov. 17, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29150480;2017
MISCAN-Colon (Erasmus/MSK);Meester RGS, Doubeni CA, Zauber AG, van Ballegooijen M, Corley DA, Lansdorp-Vogelaar I, Impact of adenoma detection on the benefit of faecal testing vs. colonoscopy for colorectal cancer, Int J Cancer, Dec. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28815573;2017
MISCAN-Colon (Erasmus/MSK);Peterse EFP, Meester RGS, Gini A, Doubeni CA, Anderson DS, Berger FG, Zauber AG, Lansdorp-Vogelaar I, Value Of Waiving Coinsurance For Colorectal Cancer Screening In Medicare Beneficiaries, Health Aff (Millwood), Dec. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29200350;2017
MISCAN-Colon (Erasmus/MSK);Rutter CM, Kim JJ, Meester RGS, Sprague BL, Burger EA, Zauber AG, Ergun MA, Campos NG, Doubeni CA, Trentham-Dietz A, Sy S, et al., Effect of Time to Diagnostic Testing for Breast, Cervical, and Colorectal Cancer Screening Abnormalities on Screening Efficacy: A Modeling Study, Cancer Epidemiol Biomarkers Prev, Nov. 17, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29150480;2017
MISCAN-Colon (Erasmus/MSK);Gini A, Zauber AG, Cenin DR, Omidvari AH, Hempstead SE, Fink AK, Lowenfels AB, Lansdorp-Vogelaar I, Cost Effectiveness of Screening Individuals With Cystic Fibrosis for Colorectal Cancer, Gastroenterology, Nov. 2, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=29102616;2017
MISCAN-Colon (Erasmus/MSK);Meulen MPV, Kapidzic A, Leerdam MEV, van der Steen A, Kuipers EJ, Spaander MCW, de Koning HJ, Hol L, Lansdorp-Vogelaar I, Do Men and Women Need to Be Screened Differently with Fecal Immunochemical Testing? A Cost-Effectiveness Analysis, Cancer Epidemiol Biomarkers Prev, Aug. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28515110;2017
MISCAN-Colon (Erasmus/MSK);Lansdorp-Vogelaar I, Goede SL, Bosch LJW, Melotte V, Carvalho B, van Engeland M, Meijer GA, de Koning HJ, van Ballegooijen M, Cost-effectiveness of High-performance Biomarker Tests vs Fecal Immunochemical Test for Noninvasive Colorectal Cancer Screening, Clin Gastroenterol Hepatol, July 18, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28733262;2017
MISCAN-Colon (Erasmus/MSK);Goede SL, Rabeneck L, van Ballegooijen M, Zauber AG, Paszat LF, Hoch JS, Yong JH, Kroep S, Tinmouth J, Lansdorp-Vogelaar I, Harms, benefits and costs of fecal immunochemical testing versus guaiac fecal occult blood testing for colorectal cancer screening, PLoS One, Jan. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28296927;2017
EACMo (MGH);Kroep S, Heberle CR, Curtius K, Kong CY, Lansdorp-Vogelaar I, Ali A, Wolf WA, Shaheen NJ, Spechler SJ, Rubenstein JH, Nishioka NS, et al., Radiofrequency Ablation of Barrett's Esophagus Reduces Esophageal Adenocarcinoma Incidence and Mortality in a Comparative Modeling Analysis, Clin Gastroenterol Hepatol, Sept. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28089850;2017
EACMo (MGH);Heberle CR, Omidvari AH, Ali A, Kroep S, Kong CY, Inadomi JM, Rubenstein JH, Tramontano AC, Dowling EC, Hazelton WD, Luebeck EG, et al., Cost Effectiveness of Screening Patients With Gastroesophageal Reflux Disease for Barrett's Esophagus With a Minimally Invasive Cell Sampling Device, Clin Gastroenterol Hepatol, Sept. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28238953;2017
MISCAN-ESO (Erasmus/UW);Kroep S, Heberle CR, Curtius K, Kong CY, Lansdorp-Vogelaar I, Ali A, Wolf WA, Shaheen NJ, Spechler SJ, Rubenstein JH, Nishioka NS, et al., Radiofrequency Ablation of Barrett's Esophagus Reduces Esophageal Adenocarcinoma Incidence and Mortality in a Comparative Modeling Analysis, Clin Gastroenterol Hepatol, Sept. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28089850;2017
MISCAN-ESO (Erasmus/UW);Heberle CR, Omidvari AH, Ali A, Kroep S, Kong CY, Inadomi JM, Rubenstein JH, Tramontano AC, Dowling EC, Hazelton WD, Luebeck EG, et al., Cost Effectiveness of Screening Patients With Gastroesophageal Reflux Disease for Barrett's Esophagus With a Minimally Invasive Cell Sampling Device, Clin Gastroenterol Hepatol, Sept. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28238953;2017
MSCE-EAC (FHCRC);Kroep S, Heberle CR, Curtius K, Kong CY, Lansdorp-Vogelaar I, Ali A, Wolf WA, Shaheen NJ, Spechler SJ, Rubenstein JH, Nishioka NS, et al., Radiofrequency Ablation of Barrett's Esophagus Reduces Esophageal Adenocarcinoma Incidence and Mortality in a Comparative Modeling Analysis, Clin Gastroenterol Hepatol, Sept. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28089850;2017
LCOS (Stanford);Han SS, Ten Haaf K, Hazelton WD, Munshi VN, Jeon J, Erdogan SA, Johanson C, McMahon PM, Meza R, Kong CY, Feuer EJ, et al., The impact of overdiagnosis on the selection of efficient lung cancer screening strategies, Int J Cancer, June 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28073150;2017
LCPM (MGH);Han SS, Ten Haaf K, Hazelton WD, Munshi VN, Jeon J, Erdogan SA, Johanson C, McMahon PM, Meza R, Kong CY, Feuer EJ, et al., The impact of overdiagnosis on the selection of efficient lung cancer screening strategies, Int J Cancer, June 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28073150;2017
LCPM (MGH);Sheehan DF, Criss SD, Gazelle GS, Pandharipande PV, Kong CY, Evaluating lung cancer screening in China: Implications for eligibility criteria design from a microsimulation modeling approach, PLoS One, Jan. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28273181;2017
LMO (FHCRC);Han SS, Ten Haaf K, Hazelton WD, Munshi VN, Jeon J, Erdogan SA, Johanson C, McMahon PM, Meza R, Kong CY, Feuer EJ, et al., The impact of overdiagnosis on the selection of efficient lung cancer screening strategies, Int J Cancer, June 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28073150;2017
MISCAN-Lung (Erasmus);Han SS, Ten Haaf K, Hazelton WD, Munshi VN, Jeon J, Erdogan SA, Johanson C, McMahon PM, Meza R, Kong CY, Feuer EJ, et al., The impact of overdiagnosis on the selection of efficient lung cancer screening strategies, Int J Cancer, June 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28073150;2017
SimSmoke (Georgetown);Fleischer NL, Thrasher JF, Reynales-Shigematsu LM, Cummings KM, Meza R, Zhang Y, Levy DT, Mexico SimSmoke: how changes in tobacco control policies would impact smoking prevalence and smoking attributable deaths in Mexico, Glob Public Health, July 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=26837721;2017
SimSmoke (Georgetown);Levy DT, Borland R, Villanti AC, Niaura R, Yuan Z, Zhang Y, Meza R, Holford TR, Fong GT, Cummings KM, Abrams DB, et al., The Application of a Decision-Theoretic Model to Estimate the Public Health Impact of Vaporized Nicotine Product Initiation in the United States, Nicotine Tob Res, Feb. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=27613952;2017
UM-LCSc (Michigan);Han SS, Ten Haaf K, Hazelton WD, Munshi VN, Jeon J, Erdogan SA, Johanson C, McMahon PM, Meza R, Kong CY, Feuer EJ, et al., The impact of overdiagnosis on the selection of efficient lung cancer screening strategies, Int J Cancer, June 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28073150;2017
UM-LCSc (Michigan);Cherng ST, Tam J, Christine PJ, Meza R, The Authors Respond, Epidemiology, Jan. 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=27682523;2017
MISCAN-PRO (Erasmus);Tsodikov A, Gulati R, Heijnsdijk EAM, Pinsky PF, Moss SM, Qiu S, de Carvalho TM, Hugosson J, Berg CD, Auvinen A, Andriole GL, et al., Reconciling the Effects of Screening on Prostate Cancer Mortality in the ERSPC and PLCO Trials, Ann Intern Med, Oct. 3, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28869989;2017
MISCAN-PRO (Erasmus);Tsodikov A, Gulati R, de Carvalho TM, Heijnsdijk EAM, Hunter-Merrill RA, Mariotto AB, de Koning HJ, Etzioni R, Is prostate cancer different in black men? Answers from 3 natural history models, Cancer, June 15, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28436011;2017
MISCAN-PRO (Erasmus);de Carvalho TM, Heijnsdijk EAM, de Koning HJ, When should active surveillance for prostate cancer stop if no progression is detected?, Prostate, June 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28419541;2017
MISCAN-PRO (Erasmus);de Carvalho TM, Heijnsdijk EA, de Koning HJ, Estimating the risks and benefits of active surveillance protocols for prostate cancer: a microsimulation study, BJU Int, April 1, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=27222299;2017
PSAPC (FHCRC);Tsodikov A, Gulati R, Heijnsdijk EAM, Pinsky PF, Moss SM, Qiu S, de Carvalho TM, Hugosson J, Berg CD, Auvinen A, Andriole GL, et al., Reconciling the Effects of Screening on Prostate Cancer Mortality in the ERSPC and PLCO Trials, Ann Intern Med, Oct. 3, 2017 [Abstract];http://www.ncbi.nlm.nih.gov/pubmed/?term=28869989;2017
