Bayesian Simulation Model (MDACC);Screening evaluation, Epidemiological analysis, Policy evaluation, Population trends,;Longitudinal, Likelihood optimization, Stochastic process, Time to Event,, Stage Distribution,, , ;False Positives, True Positives, False Negatives, True Negatives, Overdiagnoses, History,;Prevention, Treatment,;;Incidence, Disease, Stage Distribution, Prevalence,;Survival, Life years, Cause-specific Mortality, All-cause Mortality,
MSCE-EAC (FHCRC);Screening evaluation, Epidemiological analysis, Population trends,;Likelihood optimization, Stochastic process, Time to Event,, Stage Distribution, Other Conditions (Gastroesophageal Reflux Disease (GERD) and Barrett's Esophagus (BE) by age),, , ;False Positives, True Positives, False Negatives, True Negatives, Biopsies performed, Unnecessary biopsies, Overdiagnoses, History,;Prevention, Screening, Treatment,;;Incidence, Stage Distribution,;Survival, Life years, Cause-specific Mortality,
LCOS (Stanford);Screening evaluation, Policy evaluation,;Longitudinal, Likelihood optimization, Stochastic process, Time to Event,, Stage Distribution,, , ;Biopsies performed, Unnecessary biopsies, Overdiagnoses, History,;Prevention, Screening,;;Incidence, Stage Distribution,;Survival, Life years, QALY, Cause-specific Mortality, All-cause Mortality,
LCPM (MGH);Screening evaluation, Epidemiological analysis, Policy evaluation, Population trends,;Likelihood optimization, Stochastic process, State Transition,, Stage Distribution,, , ;False Positives, True Positives, False Negatives, True Negatives, Biopsies performed, Unnecessary biopsies, Overdiagnoses,;Prevention, Screening, Treatment,;;;Survival, Life years, QALY, Cause-specific Mortality, All-cause Mortality,
LMO (FHCRC);Screening evaluation, Epidemiological analysis, Policy evaluation,;Longitudinal, Likelihood optimization, Stochastic process, Time to Event,, Stage Distribution,, , ;False Positives (Indolent nodules), True Positives, Overdiagnoses, History,;Screening, Treatment,;;Incidence, Stage Distribution,;Survival, Life years, Cause-specific Mortality, Temporal trends (The temporal trends of disese by age, calendar year or birth cohort are the outcomes by fitting our model to cancer incidence or mortality data.),
MISCAN-Lung (Erasmus);Screening evaluation, Epidemiological analysis, Policy evaluation, Population trends,;Likelihood optimization (Model fit was optimized using the Nelder-Mead optimization algorithm), Stochastic process, Time to Event,, Stage Distribution,, , ;False Positives (Indirectly considered), True Positives, False Negatives (Indirectly considered), True Negatives (Indirectly considered), Biopsies performed (Indirectly considered), Unnecessary biopsies (Indirectly considered), Overdiagnoses, History,;Prevention, Screening, Treatment,;;;Survival, Life years, Cause-specific Mortality, All-cause Mortality,
SimSmoke (Georgetown);Policy evaluation, Population trends,;State Transition,, , , ;;Prevention,;;;Cause-specific Mortality, All-cause Mortality,
Smoking-Lung Cancer (Georgetown);Epidemiological analysis (The model statistically analyses the relationship between smoking prevalence and lung cancer rates using a two stage clonal model to incorporate risks), Policy evaluation (Focus is on prevention of smoking and lung cancer trends), Population trends (The trends in smoking behavior are based on published cessation and initiation rates, and those calculated from large scale surveys (CPS-TUS) and relative risks are from the CPS-II),;Likelihood optimization (Uses a regression model), State Transition (Smoking rates follow markov process with respect to initiation and cessation rates subject to changes due to tobacco control policies),, , , ;;;;;All-cause Mortality (Death rates by age and gender, also distinguishes by current former and never smoker),
UM-LCSc (Michigan);Screening evaluation, Epidemiological analysis, Policy evaluation,;Longitudinal, Stochastic process (Tau-leaping simulation of lung cancer multistage carcinogenesis model), State Transition (Model includes state-transition model of progression through cancer stages),, Stage Distribution,, , ;True Positives, Overdiagnoses,;Screening,;;;Survival, Life years, Cause-specific Mortality, All-cause Mortality,
UM-LCSm (Michigan);Epidemiological analysis, Policy evaluation, Population trends,;Likelihood optimization (The model parameters are estimated through the maximum likelihood estimation approach.), Stochastic process (The carcinogenic process is formualted mathematically using stochastic process. For example, the initiation of a pre-malignant cell and clonal expansion of the initiated cell are modeled using Poisson process and birth-death process, respectively.), Time to Event (Since each component in the model reflects the natural history of cancer since birth, it implicitly models time to certain events during carcinogenic process (e.g., time to develop premalignant lesion, dwell time from cancer onset to death etc.).),, , , ;;Prevention,;;;Cause-specific Mortality, Temporal trends (The temporal trends of disese by age, calendar year or birth cohort are the outcomes by fitting our model to cancer incidence or mortality data.),
YLCM (Yale);Epidemiological analysis, Population trends,;Likelihood optimization, State Transition,, , , ;;Prevention,;;;Life years, All-cause Mortality,
MISCAN-PRO (Erasmus);Screening evaluation, Epidemiological analysis, Policy evaluation, Population trends,;Likelihood optimization, Stochastic process, Time to Event,, Stage Distribution, Grade Distribution, Other Conditions,, , ;False Positives, True Positives, Biopsies performed, Unnecessary biopsies, Overdiagnoses, History,;Screening, Treatment,;;Incidence,;Survival, Life years, QALY, Cause-specific Mortality, All-cause Mortality,
PSAPC (FHCRC);Screening evaluation, Epidemiological analysis, Policy evaluation, Population trends,;Likelihood optimization, Stochastic process, Time to Event,, Stage Distribution, Grade Distribution, Other Conditions,, , ;False Positives, True Positives, False Negatives, True Negatives, Biopsies performed, Unnecessary biopsies, Overdiagnoses, History,;Prevention, Screening, Treatment,;;Incidence, Disease, Grade Distribution, Stage Distribution,;Survival, Life years, QALY, Cause-specific Mortality, All-cause Mortality,
SCANS (Michigan);Screening evaluation, Policy evaluation, Population trends,;Longitudinal, Likelihood optimization, Stochastic process, State Transition, Time to Event,, Stage Distribution, Grade Distribution, Other Conditions,, , ;True Positives, Overdiagnoses, History,;Prevention, Screening, Treatment,;;Incidence, Grade Distribution, Stage Distribution,;Survival, Life years, Cause-specific Mortality, All-cause Mortality,
