Metastases; Features that account for new cancer in non-primary locations after initial diagnosis. 
Tumor Growth; Models that include the concept of a defined tumor with a defined size that can change over time, possibly influencing detectability and treatability. 
Biomarker; Models that include generation of marker levels such as tumor-specific antigens separate from tests for those biomarkers.  
Analytic; Analytic models are mathematical models based on closed form equations that represents a system in terms of logical and quantitative relationships.Software may be employed in automation of calibration and other result generation, but the core model is described in terms of equations not software.  
WHI PHT; Women\x92s health Initiative (WHI) Postmenopausal Hormone Therapy Trials <br/> http&#58//www.nhlbi.nih.gov/whi/background.htm 
Other; Other Cancer Registry not listed
SEER POC; NCI SEER\xa0Patterns of Care <br/> http&#58//appliedresearch.cancer.gov/poc/ 
NHIS; National Health Interview Surveys <br/> http&#58//www.cdc.gov/nchs/nhis.htm 
NHANES; National Health and Nutrition Examination Surveys <br/> http&#58//www.cdc.gov/nchs/nhanes.htm 
EBCTCG; Early Breast Cancer Trialists&#39 Collaborative Group <br/> http&#58//ipdmamg.cochrane.org/early-breast-cancer-trialists-collaborative-group 
Size at diagnosis; Benefit from early detection is conveyed implicitly based on reduced tumor size at the time of detection and treatment independent from that which may already be accounted for in stage shift benefit.
Tumor Attributes; Outpus concerned with distribution of certain attributes of tumors. For example, growth rates, diffusion, and treatability. 
Personal History; Inputs relating only to the individual (not the individual&#39s family)
Natural History; Results drawn from simulated individual&#39s disease including, onset, transitions to malignancy, stage transitions, metastasis, growth rates etc. 
Tumor size; Outputs involving measurement of tumor size over time or at specific time points such as clinical or screen diagnosis  
Test Performance; Outputs tracking the test performance as generated by the model. Can be conditioned on follow up time and censoring, or represent actual (often unobservable for negative tests) performance metrics.  
State Transition; State transition models posit a set of discrete states that the unit of analysis (typically an individual person) can be in at any time. The conditional probabilities of transitioning between states over a given interval of time are established as model parameters. An individual&#39s longitudinal histories can be generated. Variants of Markov models fall into this category. 
Two County Study; Two County Trial Data (Sweden) 
HIP; Health Insurance Plan Study 
Lead Time; Lead-time is included as a survival benefit 
QALY; Quality adjusted years of life. 
Obesity; Inputs concerned with obesity possibly measured by any standard index (e.g. Body Mass Index)
Demography; Demographic inputs concerned with the simulated population.  
Cost; Outputs concerned with reporting costs of alternative interventions. 
Disease; Cancer or precancer 
WCRS; Wisconsin Cancer Reporting System 
Recurrence; Features that explicitly allow for cancer to reoccur in the same individual after initial detection and possible treatment. Does not include models that implicitly account for recurrence via long-term survival statistics. 
Virus; Features that account for a virus (such as HPV) after initial diagnosis
Macro Simulation; Computer models that operate at the level of populations (i.e. not individuals). Micro simulations may involve sub-components that are strictly analytical, but the complete model cannot be represented as a closed form equation. 
Dynamic Transmission;" ""Dynamic Transmission models direct and indirect effects from communicable diseases that cant be effectively modeled through other methods. Dynamic Transmission models in the cervical sites model the risk of HPV infection depending on the number of new partners, the prevalence of HPV in the population, and the probability of HPV transmission per susceptible-infected partnership. "")"
FCR; Finnish Cancer Registry <br/> http&#58//www.cancer.fi/syoparekisteri/en/ 
Smoking History; Inputs concerned with factors that may influence incidence or treatment of disease. For example, smoking history, obesity, diet.
HPV Infection; Presence of Human Papillomavirus (HPV) Infection 
Smoking; Outputs pertaining to the patterns of smoking in the simulated population, possibly in the context of simulated interventions. 
Temporal trends; Temporal trends of disease
Vaccination effect; Effect from vaccination on population, including proportion of cervical disease attributable to vaccination HPV types, vaccination coverage, and duration of vaccine-induced immunity 
Agent-based; An agent-based model is a micro simulation that allows for interaction between simulated entities.For example, smoking behavior in a simulated individual may be influenced by the behavior of other simulated individuals.  
PROSPR; Population-based Research Optimizing Screening through Personalized Regimens <br/> http&#58//healthcaredelivery.cancer.gov/prospr/ 
KPNC; Kaiser Permanente Northern California 
NMHPVPR; New Mexico HPV Pap Registry <br/> http&#58//hpvprevention.unm.edu/NMHPVPR/ 
BRFSS; Behavioral Risk Factor Surveillance System <br/> http://www.cdc.gov/brfss/ 
NHDS; National Hospital Discharge Survey <br/> http://www.cdc.gov/nchs/nhds/ 
Other Conditions; Other conditions other than precancer and cancer (such as HPV Infection)
Risk Adaptive Factors; Inputs to inform modification of regular screen schedules (test interval, thresholds etc) based on test results (eg marker levels).  
Incidental Finding Surveillance; Certain pre-cancerous findings during screening may trigger non-routine surveillance for which attendance parameters may be an input to the model. For example, post-adenoma follow-up for Colorectal cancer, or follow-up for Esophageal Adenocarcinoma (EAC) after diagnosis of Barrett&#39s Esophagus (BE). 
Quadrivalent; Quadrivalent (4v) vaccine 
Bivalent; Bivalent (2v) vaccine 
Nonavalent; Nonavalent (9v) vaccine 
Pregnancy; Pregnancy outcomes from Cervical intraepithelial neoplasia (CIN) treatment
PALEBA; Nationwide network and registry of histo- and cytopathology in the Netherlands\n 
NCR; Netherlands Cancer Registry 
POBASCAM; Population Based Screening Study Amsterdam <br/> http&#58//www.ncbi.nlm.nih.gov/pubmed/15054873 
NSW-CCR; New South Whales (NSW) Central Cancer Registry (CCR) <br/> http&#58//www.cancerinstitute.org.au/data-and-statistics/cancer-registries/nsw-cancer-registry
ACD; Australian Cancer Database <br/> http&#58//www.aihw.gov.au/australian-cancer-database/
NMD; National Mortality Database <br/> http&#58//www.aihw.gov.au/deaths/aihw-deaths-data/#nmd
VCCR; Victorian Cervical Cytology Register
ASHR; Australian Study of Health and Relationships <br/> http://www.ashr.edu.au/
SEER-Medicare; The SEER Medicare data consists of a linkage of the clinical data collected by the SEER registries with claims for health services collected by Medicare for its beneficiaries. 
National Polyp Study; National Polyp Study 
Cell Dynamics; Outputs providing data on simulated cells. For example&#58 cell kinetics, Temporal trends on cell kinetics, spatial growth of High grade dysplasia (HGD) and Esophageal Adenocarcinoma (EAC) clones 
NHS; Nurses&#39 Health Studies <br/> http://www.nurseshealthstudy.org/ 
HPFS; Health Professionals&#39 Follow-up Study <br/> https://www.hsph.harvard.edu/hpfs/ 
PLCO; Prostate, Lung, Colorectal, and Ovarian trial<br/> http&#58//prevention.cancer.gov/plco 
NLST; National Lung Screening Trial <br/> http&#58//www.cancer.gov/clinicaltrials/noteworthy-trials/nlst
CPS II; Cancer Prevention Study II <br/> http&#58//www.cancer.org/research/researchtopreventcancer/currentcancerpreventionstudies/cancer-prevention-study 
CPS I; Cancer Prevention Study I 
ERSPC; European Randomized Study of Screening for Prostate Cancer<br/> http&#58//www.erspc-media.org/ 
PCPT; Prostate Cancer Prevention Trial<br/> http&#58//www.cancer.gov/clinicaltrials/noteworthy-trials/pcpt/Page1 
SPCG-4; Scandinavian Prostate Cancer Group-4 randomized trial <br/> http&#58//www.ncbi.nlm.nih.gov/pubmed/23271778 
