Anton;huang2017.pdf;a bayesian simulation model for breast cancer screening incidence treatment and mortality;Huang, Xuelin, Li, Yisheng, Song, Juhee, Berry, Donald A.;2018
Anton;palma2015.pdf;a system dynamics model of serum prostate-specific antigen screening for prostate cancer;Palma, Anton  Lounsbury, David W.  Schlecht, Nicolas F.  Agalliu, Ilir;2016
FromReview;kuntz2011.pdf;A Systematic Comparison of Microsimulation Models of Colorectal Cancer: The Role of Assumptions about Adenoma Progression;;
Anton;stollenwerk2012.pdf;accounting for increased non-target-disease-specific mortality in decision-analytic screening models for economic evaluation;Stollenwerk, Bjoern  Gandjour, Afschin  Luengen, Markus  Siebert, Uwe;2013
FromReview;balasubramanian2010.pdf;Accuracy and cost-effectiveness of Cervical Cancer Screening by High-Risk Human Papillomavirus DNA Testing of Self-Collected Vaginal Samples;;
Anton;mcmahon2008.pdf;Adopting Helical CT Screening for Lung Cancer Potential Health Consequences During a 15-Year Period;McMahon PM1, Kong CY, Weinstein MC, Tramontano AC, Cipriano LE, Johnson BE, Weeks JC, Gazelle GS.;2008
Anton;sepp2015.pdf;age-related incidence of cervical cancer supports two aetiological components a population-based register study;Seppa K., Pitkaniemi J., Malila N., Hakama M.;2016
Noneg;chen2010.pdf;alexithymia as a screening index for male conscripts with adjustment disorder;Chen P.-F., Chen C.-S., Chen C.-C., Lung F.-W.;2011
Anton;10.1109@42.932741.pdf;an artificial intelligent algorithm for tumor detection in screening mammogram;Zheng, L  Chan, AK;2001
Noneg;arrospide2013.pdf;An assessment of existing models for individualized breast cancer risk estimation in a screening program in Spain;Arrospide A, Forn?? C, Ru?? M, Tor? N, Mar J, Bar?? M1.;2013
Anton;pinsky2004.pdf;An Early- and Late-Stage Convolution Model for Disease Natural History;Pinsky PF1.;2004
Anton;witte2017.pdf;an em algorithm for nonparametric estimation of the cumulative incidence function from repeated imperfect test results;Witte BI1, Berkhof J1, Jonker MA1,2.;2017
FromReview;sherlawjohnson2004.pdf;An evaluation of liquid-based cytology and human papillomavirus testing within the UK cervical cancer screening programme;;
Noneg;rutter2010.pdf;an evidence-based microsimulation model for colorectal cancer validation and application;Rutter, Carolyn M., Savarino, James E.;2010
Anton;levin2015.pdf;an extended cost-effectiveness analysis of publicly financed hpv vaccination to prevent cervical cancer in china;Levin CE1, Sharma M2, Olson Z3, Verguet S4, Shi JF5, Wang SM5, Qiao YL5, Jamison DT3, Kim JJ6.;2015
Noneg;chiu2010.pdf;analytical decision model for sample size and effectiveness projections for use in planning a population-based randomized controlled trial of colorectal cancer screening;Chiu, Sherry Y-H, Malila, Nea, Yen, Amy M-F, Anttila, Ahti, Hakama, Matti, Chen, H-H;2011
Noneg;lee2016.pdf;annual combined mammography and tomosynthesis screening is it really cost-effective;Lee CI1,2,3, Lee JM1,3, Tosteson AN4.;2016
Noneg;ma2013.pdf;annual number of lung cancer deaths potentially avertable by screening in the united states;Cancer. 2013 Apr 1.119(7):1381-5. doi: 10.1002/cncr.27813. Epub 2013 Feb 25.;2002
Anton;petry2013.pdf;Annual Papanicolaou screening for 5 years among human papillomavirus-negative women;Petry, Karl Ulrich  Rinnau, Franziska  Boehmer, Gerd  Hollwitz, Bettina  Luyten, Alexander  Buttmann, Nina  Bruenger, Martin  Iftner, Thomas;2013
Anton;edwards2010.pdf;annual report to the nation on the status of cancer 1975-2006 featuring colorectal cancer trends and impact of interventions risk factors screening and treatment to reduce future rates;Edwards BK1, Ward E, Kohler BA, Eheman C, Zauber AG, Anderson RN, Jemal A, Schymura MJ, Lansdorp-Vogelaar I, Seeff LC, van Ballegooijen M, Goede SL, Ries LA.;2010
Anton;borrs1998.pdf;anticipating the consequences for the primary therapy of breast cancer after introducing screening - a more global picture for health care policy making;Borras, JM  Espinas, JA  Beemsterboer, PMM  Granados, A  de Koning, HJ;1998
Anton;ijpr-14-635.pdf;applying a simple model of cost-effectiveness study of hpv vaccine for iran;Khatibi M., Rasekh H.R.;2015
Noneg;zai2014.pdf;applying operations research to optimize a novel population management system for cancer screening;Zai, Adrian H., Kim, Seokjin, Kamis, Arnold, Hung, Ken, Ronquillo, Jeremiah G., Chueh, Henry C., Atlas, Steven J.;2014
q12;ladabaum2001.pdf;aspirin as an adjunct to screening for prevention of sporadic colorectal cancer a cost-effectiveness analysis;Ladabaum U1, Chopra CL, Huang G, Scheiman JM, Chernew ME, Fendrick AM.;2001
Anton;hsieh2002.pdf;assessing chronic disease progression using non-homogeneous exponential regression markov models an illustration using a selective breast cancer screening in taiwan;Hsieh, HJ  Chen, THH  Chang, SH;2002
Anton;andersson2017.pdf;assessment of lead-time bias in estimates of relative survival for breast cancer;Andersson TM1, Rutherford MJ2, Humphreys K3.;2017
q12;steens2012.pdf;association between human papillomavirus vaccine uptake and cervical cancer screening in the netherlands implications for future impact on prevention;Steens A1, Wielders CC, Bogaards JA, Boshuizen HC, de Greeff SC, de Melker HE.;2013
Anton;plevritis2018.pdf;association of screening and treatment with breast cancer mortality by molecular subtype in us women 2000-2012;Plevritis, Sylvia K.  Munoz, Diego  Kurian, Allison W.  Stout, Natasha K.  Alagoz, Oguzhan  Near, Aimee M.  Lee, Sandra J.  van den Broek, Jeroen J.  Huang, Xuelin  Schechter, Clyde B.  Sprague, Brian L.  Song, Juhee  de Koning, Harry J.  Trentham-Dietz, Amy  van Ravesteyn, Nicolien T.  Gangnon, Ronald  Chandler, Young  Li, Yisheng  Xu, Cong  Ergun, Mehmet Ali  Huang, Hui  Berry, Donald A.  Mandelblatt, Jeanne S.;2018
Anton;lansdorpvogelaar2009.pdf;at what costs will screening with ct colonography be competitive a cost-effectiveness approach;Lansdorp-Vogelaar, Iris  van Ballegooijen, Marjolein  Zauber, Ann G.  Boer, Rob  Wischut, Janneke  Habbema, J. Dik F.;2009
Noneg;armero2008.pdf;bayesian assessment of times to diagnosis in breast cancer screening;Armero, Carmen, Lopez-Quilez, Antonio, Lopez-Sanchez, Rut;2008
FromReview;myles2003.pdf;Bayesian evaluation of breast cancer screening using data from two studies;;
Noneg;hsu2017.pdf;bayesian negative-binomial-family-based multistate markov model for the evaluation of periodic population-based cancer screening considering incomplete information and measurement errors;Hsu, Chen-Yang, Yen, Ming-Fang, Auvinen, Anssi, Chiu, Yueh-Hsia, Chen, Hsiu-Hsi;2018
Anton;hsieh2013.pdf;bayesian spatial analysis for the evaluation of breast cancer detection methods;Hsieh, Jeff Ching-Fu  Cramb, Susanna M.  McGree, James M.  Baade, Peter D.  Dunn, Nathan A. M.  Mengersen, Kerrie L.;2013
Noneg;mandelblatt2002.pdf;Benefits and costs of using HPV testing to screen for cervical cancer.;Mandelblatt JS1, Lawrence WF, Womack SM, Jacobson D, Yi B, Hwang YT, Gold K, Barter J, Shah K.;2002
Anton;10.1093@jnci@djv103.pdf;benefits and harms of mammography screening after age 74 years model estimates of overdiagnosis;van Ravesteyn, Nicolien T.  Stout, Natasha K.  Schechter, Clyde B.  Heijnsdijk, Eveline A. M.  Alagoz, Oguzhan  Trentham-Dietz, Amy  Mandelblatt, Jeanne S.  de Koning, Harry J.;2015
Anton;sprague2015.pdf;Benefits, Harms, and cost-effectiveness of Supplemental Ultrasonography Screening for Women With Dense Breasts;Sprague BL, Stout NK, Schechter C, van Ravesteyn NT, Cevik M, Alagoz O, Lee CI, van den Broek JJ, Miglioretti DL, Mandelblatt JS, de Koning HJ, Kerlikowske K, Lehman CD, Tosteson AN.;2015
Noneg;10.1177@0969141316668379.pdf;breast cancer incidence trends in norway and estimates of overdiagnosis;van Luijt PA1, Heijnsdijk EA1, van Ravesteyn NT1, Hofvind S2, de Koning HJ1.;2017
Noneg;vacek2011.pdf;breast cancer risk assessment in women aged 70 and older;Vacek PM1, Skelly JM, Geller BM.;2011
Noneg;timmers2013.pdf;breast cancer risk prediction model a nomogram based on common mammographic screening findings;Timmers JM1, Verbeek AL, IntHout J, Pijnappel RM, Broeders MJ, den Heeten GJ.;2013
FromReview;okonkwo2008.pdf;breast cancer screening policies in developing countries a cost-effectiveness analysis for india;Okonkwo, Quirine Lamberts  Draisma, Gerrit  der Kinderen, Arno  Brown, Martin L.  de Koning, Harry J.;2008
Anton;weedonfekjr2008.pdf;breast cancer tumor growth estimated through mammography screening data;Weedon-Fekjaer, Harald  Lindqvist, Bo H.  Vatten, Lars J.  Aalen, Odd O.  Tretli, Steinar;2008
Noneg;michaelson1999.pdf;Breast cancer: computer simulation method for estimating optimal intervals for screening.;;1999
Noneg;arveux2003.pdf;building a model to determine the cost-effectiveness of breast cancer screening in france;Arveux P1, Wait S, Schaffer P.;2003
q12;carreras2012.pdf;can a national lung cancer screening program in combination with smoking cessation policies cause an early decrease in tobacco deaths in italy;Cancer Prev Res (Phila). 2012 Jun.5(6):874-82. doi: 10.1158/1940-6207.CAPR-12-0019. Epub 2012 Apr 23.;2015
Noneg;dolan2013.pdf;can streamlined multicriteria decision analysis be used to implement shared decision making for colorectal cancer screening;Dolan JG1, Boohaker E2, Allison J3, Imperiale TF4.;2014
Anton;saini2013.pdf;can the adenoma detection rate reliably identify low-performing endoscopists results of a modeling study;Saini S.D., Schoenfeld P., Vijan S.;2013
Anton;dhar2018.pdf;Catalyzing Novel Approaches to Rapid, Accurate, and Affordable Early Cancer Detection;Dhar, Asif  Meagher, Beth  Ryscavage, Andrew;2018
FromReview;creighton2010.pdf;Cervical cancer screening in Australia: modelled evaluation of the impact of changing the recommended interval from two to three years;;
Anton;campos2015.pdf;cervical cancer screening in low-resource settings a cost-effectiveness framework for valuing tradeoffs between test performance and program coverage;Campos, Nicole G.  Castle, Philip E.  Wright, Thomas C., Jr.  Kim, Jane J.;2015
Noneg;wang2018.pdf;Challenges and research opportunities for lung cancer screening in China;Wang, Zixing, Wang, Yuyan, Huang, Yao, Xue, Fang, Han, Wei, Hu, Yaoda, Wang, Lei, Song, Wei, Jiang, Jingmei;2018
Anton;ekwunife2016.pdf;challenges in cost-effectiveness analysis modelling of hpv vaccines in low- and middle-income countries a systematic review and practice recommendations;Ekwunife OI1,2, O'Mahony JF3, Gerber Grote A4,5, Mosch C6, Paeck T7, Lhachimi SK8,7.;2017
Anton;schultz2012.pdf;chapter 7 description of miscan-lung the erasmus mc lung cancer microsimulation model for evaluating cancer control interventions;Schultz FW1, Boer R, de Koning HJ.;2012
Anton;nihms408197.pdf;chapter 9 the mgh-hms lung cancer policy model tobacco control versus screening;McMahon PM1, Kong CY, Johnson BE, Weinstein MC, Weeks JC, Tramontano AC, Cipriano LE, Bouzan C, Gazelle GS.;2012
Noneg;10.1177@0272989x11408915.pdf;clarifying differences in natural history between models of screening the case of colorectal cancer;van Ballegooijen, Marjolein, Rutter, Carolyn M., Knudsen, Amy B., Zauber, Ann G., Savarino, James E., Lansdorp-Vogelaar, Iris, Boer, Rob, Feuer, Eric J., Habbema, J. Dik F., Kuntz, Karen M.;2011
Noneg;prakash2017.pdf;cmost an open-source framework for the microsimulation of colorectal cancer screening strategies;Prakash, Meher K., Lang, Brian, Heinrich, Henriette, Valli, Piero V., Bauerfeind, Peter, Sonnenberg, Amnon, Beerenwinkel, Niko, Misselwitz, Benjamin;2017
FromReview;hassan2007.pdf;Colon cancer prevention in Italy: cost-effectiveness analysis with CT colonography and endoscopy;;
FromReview;nejmoa054967.pdf;Colonoscopy in Colorectal-Cancer Screening for Detection of Advanced Neoplasia;;
FromReview;mandel1999.pdf;Colorectal Cancer Mortality: Effectiveness of Biennial Screening for Fecal Occult Blood;;
Anton;ladabaum2006.pdf;colorectal cancer screening - differential costs for younger versus older americans;Ladabaum, U  Phillips, KA;2006
Noneg;joseph2016.pdf;colorectal cancer screening estimated future colonoscopy need and current volume and capacity;Joseph, Djenaba A., Meester, Reinier G. S., Zauber, Ann G., Manninen, Diane L., Winges, Linda, Dong, Fred B., Peaker, Brandy, van Ballegooijen, Marjolein;2016
Anton;wolf2018.pdf;colorectal cancer screening for average-risk adults 2018 guideline update from the american cancer society;Wolf, Andrew M. D.  Fontham, Elizabeth T. H.  Church, Timothy R.  Flowers, Christopher R.  Guerra, Carmen E.  LaMonte, Samuel J.  Etzioni, Ruth  McKenna, Matthew T.  Oeffinger, Kevin C.  Shih, Ya-Chen Tina  Walter, Louise C.  Andrews, Kimberly S.  Brawley, Otis W.  Brooks, Durado  Fedewa, Stacey A.  Manassaram-Baptiste, Deana  Siegel, Rebecca L.  Wender, Richard C.  Smith, Robert A.;2018
FromReview;heitman2010.pdf;Colorectal Cancer Screening for Average-Risk North Americans: An Economic Evaluation;;
Noneg;stone2004.pdf;colorectal cancer screening in australia an economic evaluation of a potential biennial screening program using faecal occult blood tests;Stone CA1, Carter RC, Vos T, John JS.;2004
Noneg;lee2007.pdf;colorectal cancer screening using fecal occult blood test and subsequent risk of colorectal cancer a prospective cohort study in japan;Lee KJ1, Inoue M, Otani T, Iwasaki M, Sasazuki S, Tsugane S. Japan Public Health Center-based Prospective Study.;2007
Noneg;10.1.1.557.8022.pdf;Colorectal cancer screening with faecal occult blood test within a multiple disease screening programme: an experience from Keelung, Taiwan;;2006
Anton;mcleod2017.pdf;Colorectal cancer screening: How health gains and cost-effectiveness vary by ethnic group, the impact on health inequalities, and the optimal age-range to screen;McLeod M., Kvizhinadze G., Boyd M., Barendregt J., Sarfati D., Wilson N., Blakely T.;2017
FromReview;gyrdhansen1998.pdf;COLORECTAL CANCER SCREENING:EFFICIENCY AND EFFECTIVENESS;;
FromReview;pence2012.pdf;Combination Aspirin and/or Calcium Chemoprevention with Colonoscopy in Colorectal Cancer Prevention: cost-effectiveness Analyses;;
Anton;meza2014.pdf;comparative analysis of 5 lung cancer natural history and screening models that reproduce outcomes of the nlst and plco trials;Meza, Rafael  ten Haaf, Kevin  Kong, Chung Yin  Erdogan, Ayca  Black, William C.  Tammemagi, Martin C.  Choi, Sung Eun  Jeon, Jihyoun  Han, Summer S.  Munshi, Vidit  van Rosmalen, Joost  Pinsky, Paul  McMahon, Pamela M.  de Koning, Harry J.  Feuer, Eric J.  Hazelton, William D.  Plevritis, Sylvia K.;2014
Anton;landy2017.pdf;comparative effectiveness and cost-effectiveness of a multitarget stool dna test to screen for colorectal neoplasia;Gastroenterology. 2016 Sep.151(3):427-439.e6. doi: 10.1053/j.gastro.2016.06.003. Epub 2016 Jun 14.;2016
FromReview;vickers2013.pdf;comparative effectiveness of alternative prostate-specific antigen-based prostate cancer screening strategies model estimates of potential benefits and harms;Gulati, Roman  Gore, John L.  Etzioni, Ruth;2013
Anton;trenthamdietz2017.pdf;Comparative effectiveness of incorporating a hypothetical DCIS prognostic marker into breast cancer screening;Trentham-Dietz, Amy  Ergun, Mehmet Ali  Alagoz, Oguzhan  Stout, Natasha K.  Gangnon, Ronald E.  Hampton, John M.  Dittus, Kim  James, Ted A.  Vacek, Pamela M.  Herschorn, Sally D.  Burnside, Elizabeth S.  Tosteson, Anna N. A.  Weaver, Donald L.  Sprague, Brian L.;2018
Anton;10.1002@cncr.31141.pdf;comparative effectiveness of prostate cancer screening between the ages of 55 and 69 years followed by active surveillance;de Carvalho, Tiago M., Heijnsdijk, Eveline A. M., de Koning, Harry J.;2018
FromReview;ross2000.pdf;Comparative efficiency of prostate-specific antigen screening strategies for prostate cancer detection.;;
Anton;mcmahon2014.pdf;comparing benefits from many possible computed tomography lung cancer screening programs extrapolating from the national lung screening trial using comparative modeling;McMahon, Pamela M.  Meza, Rafael  Plevritis, Sylvia K.  Black, William C.  Tammemagi, C. Martin  Erdogan, Ayca  ten Haaf, Kevin  Hazelton, William  Holford, Theodore R.  Jeon, Jihyoun  Clarke, Lauren  Kong, Chung Yin  Choi, Sung Eun  Munshi, Vidit N.  Han, Summer S.  van Rosmalen, Joost  Pinsky, Paul F.  Moolgavkar, Suresh  de Koning, Harry J.  Feuer, Eric J.;2014
Noneg;10.1177@0272989x17718168.pdf;comparing cisnet breast cancer incidence and mortality predictions to observed clinical trial results of mammography screening from ages 40 to 49;van den Broek, Jeroen J., van Ravesteyn, Nicolien T., Mandelblatt, Jeanne S., Huang, Hui, Ergun, Mehmet Ali, Burnside, Elizabeth S., Xu, Cong, Li, Yisheng, Alagoz, Oguzhan, Lee, Sandra J., Stout, Natasha K., Song, Juhee, Trentham-Dietz, Amy, Plevritis, Sylvia K., Moss, Sue M., de Koning, Harry J.;2018
q12;lin2011.pdf;comparing the benefits of screening for breast cancer and lung cancer using a novel natural history model;Lin, Ray S., Plevritis, Sylvia K.;2012
Anton;silva2016.pdf;comparison of markov models used for the economic evaluation of colorectal cancer screening a systematic review;Silva, N. S.;2016
Anton;kafadar2005.pdf;computational methods in medical decision making to screen or not to screen;Kafadar, K  Prorok, C;2005
Noneg;kerlikowske1999.pdf;Continuing screening mammography in women aged 70 to 79 years: impact on life expectancy and cost-effectiveness.;JAMA. 1999 Dec 8.282(22):2156-63.;1000
Anton;lansdorpvogelaar2012.pdf;contribution of screening and survival differences to racial disparities in colorectal cancer rates;Lansdorp-Vogelaar, Iris  Kuntz, Karen M.  Knudsen, Amy B.  van Ballegooijen, Marjolein  Zauber, Ann G.  Jemal, Ahmedin;2012
Noneg;bech2000.pdf;cost implications of routine mammography screening of women 50-69 years in the county of funen denmark;Bech M., Gyrd-Hansen D.;2000
Noneg;lejeune2004.pdf;cost-effective analysis of fecal occult blood screening for colorectal cancer;Lejeune, C, Arveux, P, Dancourt, V, Bejean, S, Bonithon-Kopp, C, Faivre, J;2004
Noneg;manuel2004.pdf;cost-effectiveness analyses in gynecologic oncology methodological quality and trends;Manuel MR1, Chen LM, Caughey AB, Subak LL.;2004
FromReview;chen2007.pdf;cost-effectiveness analysis for determining optimal cut-off of immunochemical faecal occult blood test for population-based colorectal cancer screening (KCIS 16);;
Anton;chen2011.pdf;cost-effectiveness analysis for pap smear screening and human papillomavirus dna testing and vaccination;Chen, Meng-Kan  Hung, Hui-Fang  Duffy, Stephen  Yen, Amy Ming-Fang  Chen, Hsiu-Hsi;2011
Anton;reynalesshigematsu2009.pdf;cost-effectiveness analysis of a quadrivalent human papilloma virus vaccine in mexico;Reynales-Shigematsu LM1, Rodrigues ER, Lazcano-Ponce E.;2009
Anton;neeser2007.pdf;cost-effectiveness analysis of a quality-controlled mammography screening program from the swiss statutory health-care perspective quantitative assessment of the most influential factors;Neeser, Kurt  Szucs, Thomas  Bulliard, Jean-Luc  Bachmann, Gaudenz  Schramm, Wendelin;2007
Anton;szucs2008.pdf;cost-effectiveness analysis of adding a quadrivalent hpv vaccine to the cervical cancer screening programme in switzerland;Szucs T.D., Largeron N., Dedes K.J., Rafia R., Benard S.;2008
Noneg;cromwell2016.pdf;cost-effectiveness analysis of anal cancer screening in women with cervical neoplasia in british columbia canada;Cromwell I1,2, Gaudet M3,4, Peacock SJ5,6,7, Aquino-Parsons C3.;2016
Anton;wu2006.pdf;cost-effectiveness analysis of colorectal cancer screening with stool dna testing in intermediate-incidence countries;Wu, Grace Hui-Min  Wang, Yi-Ming  Yen, Amy Ming-Fang  Wong, Jau-Min  Lai, Hsin-Chih  Warwick, Jane  Chen, Tony Hsiu-Hsi;2006
q12;mo2017.pdf;cost-effectiveness analysis of different types of human papillomavirus vaccination combined with a cervical cancer screening program in mainland china;;2017
Noneg;10.5888@pcd14.160158.pdf;cost-effectiveness analysis of four simulated colorectal cancer screening interventions north carolina;Lich, Kristen Hassmiller, Cornejo, David A., Mayorga, Maria E., Pign Michael, Tangka, Florence K. L., Richardson, Lisa C., Kuo, Tzy-Mey, Meyer, Anne-Marie, Hall, Ingrid J., Smith, Judith Lee, Durham, Todd A., Chall, Steven A., Crutchfield, Trisha M., Wheeler, Stephanie B.;2017
q12;obradovic2010.pdf;cost-effectiveness analysis of hpv vaccination alongside cervical cancer screening programme in slovenia;Obradovic M1, Mrhar A, Kos M.;2010
Noneg;hkm1006sp3p38.pdf;cost-effectiveness analysis of mammography screening in Hong Kong Chinese using state-transition Markov modelling;Research Support, Non-U.S. Gov't,Adult,Age Factors,Aged,Breast Neoplasms/economics*,Breast Neoplasms/ethnology,Breast Neoplasms/prevention & control*,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Hong Kong,Humans,Longitudinal Studies,Mammography/economics*,Markov Chains,Mass Screening/economics*,Mass Screening/methods,Middle Aged;2060
Anton;konno2010.pdf;cost-effectiveness analysis of prophylactic cervical cancer vaccination in japanese women;Konno R1, Sasagawa T, Fukuda T, Van Kriekinge G, Demarteau N.;2010
Anton;manser2005.pdf;cost-effectiveness analysis of screening for lung cancer with low dose spiral ct computed tomography in the australian setting;Manser, R  Dalton, A  Carter, R  Byrnes, G  Elwood, M  Campbell, DA;2005
Anton;bergeron2008.pdf;cost-effectiveness analysis of the introduction of a quadrivalent human papillomavirus vaccine in france;Bergeron C1, Largeron N, McAllister R, Mathevet P, Remy V.;2008
Noneg;berchi2004.pdf;cost-effectiveness analysis of two strategies for mass screening for colorectal cancer in france;Berchi, C, Bouvier, V, Reaud, JM, Launoy, G;2004
Noneg;tsoi2008.pdf;cost-effectiveness analysis on screening for colorectal neoplasm and management of colorectal cancer in asia;;2008
Noneg;arrospide2018.pdf;cost-effectiveness and budget impact analyses of a colorectal cancer screening programme in a high adenoma prevalence scenario using miscan-colon microsimulation model;Arrospide, Arantzazu, Idigoras, Isabel, Mar, Javier, de Koning, Harry, van der Meulen, Miriam, Soto-Gordoa, Myriam, Miguel Martinez-Llorente, Jose, Portillo, Isabel, Arana-Arri, Eunate, Ibarrondo, Oliver, Lansdorp-Vogelaar, Iris;2018
Noneg;pil2016.pdf;cost-effectiveness and budget impact analysis of a population-based screening program for colorectal cancer;Pil L1, Fobelets M2, Putman K3, Trybou J4, Annemans L5.;2016
Anton;cleemput2009.pdf;cost-effectiveness Evaluation of a Quadrivalent Human Papillomavirus Vaccine in Belgium;Annemans L., Remy V., Oyee J., Largeron N.;2009
Noneg;lucidarme2012.pdf;cost-effectiveness modeling of colorectal cancer computed tomography colonography vs colonoscopy or fecal occult blood tests;Lucidarme O1, Cadi M, Berger G, Taieb J, Poynard T, Grenier P, Beresniak A.;2012
Anton;schillerfrhwirth2017.pdf;cost-effectiveness models in breast cancer screening in the general population a systematic review;Schiller-Fruethwirth, Irmgard C.  Jahn, Beate  Arvandi, Marjan  Siebert, Uwe;2017
FromReview;chuck2010.pdf;cost-effectiveness of 21 Alternative Cervical Cancer Screening Strategies;;
q12;sopina2011.pdf;cost-effectiveness of a cervical screening program with human papillomavirus vaccine;Sopina E1, Ashton T.;2011
Noneg;sonnenberg2002.pdf;cost-effectiveness of a single colonoscopy in screening for colorectal cancer;Sonnenberg, A, Delco, F;2002
Anton;vok2012.pdf;cost-effectiveness of adding vaccination with the AS04-adjuvanted human papillomavirus 16/18 vaccine to cervical cancer screening in Hungary;Voko, Zoltan  Nagyjanosi, Laszlo  Kalo, Zoltan;2012
Noneg;ahern2014.pdf;cost-effectiveness of alternative strategies for integrating mri into breast cancer screening for women at high risk;Ahern CH1, Shih YC2, Dong W3, Parmigiani G4, Shen Y3.;2014
Noneg;cronin2013.pdf;cost-effectiveness of an advance notification letter to increase colorectal cancer screening;Cronin, Paula, Goodall, Stephen, Lockett, Trevor, O'Keefe, Christine M., Norman, Richard, Church, Jody;2013
Anton;czw182.pdf;cost-effectiveness of an hpv self-collection campaign in uganda comparing models for delivery of cervical cancer screening in a low-income setting;Campos, Nicole G.  Tsu, Vivien  Jeronimo, Jose  Njama-Meya, Denise  Mvundura, Mercy  Kim, Jane J.;2017
Anton;pataky2014 (1).pdf;cost-effectiveness of annual versus biennial screening mammography for women with high mammographic breast density;Pataky, Reka  Ismail, Zahra  Coldman, Andrew J.  Elwood, Mark  Gelmon, Karen  Hedden, Lindsay  Hislop, Greg  Kan, Lisa  McCoy, Bonnie  Olivotto, Ivo A.  Peacock, Stuart;2014
