Missed;roth2016_2.pdf;Economic Analysis of Prostate-Specific Antigen Screening and Selective Treatment Strategies;Roth, Joshua A.  Gulati, Roman  Gore, John L.  Cooperberg, Matthew R.  Etzioni, Ruth
Missed;shen1999.pdf;parametric estimation procedures for screening programmes: stable and nonstable disease models for multimodality case finding;
Missed;shen2005_2.pdf;robust modeling in screening studies: estimation of sensitivity and preclinical sojourn time distribution;
Missed;simonella2015.pdf;development of a quality framework for models of cervical screening and its application to evaluations of the costeffectiveness of hpv vaccination in developed countries;
Missed;Tan2000.pdf;estimating parameters of a microsimulation model for breast cancer screening using the score function method;
Missed;Taylor2000.pdf;Cost-effectiveness of the conventional papanicolaou test with a new adjunct to cytological screening for squamous cell carcinoma of the uterine cervix and its precursors.;Taylor LA1, Sorensen SV, Ray NF, Halpern MT, Harper DM.
Missed;Thomas2017.pdf;Estimating the Effect of Targeted Screening Strategies An Application to Colonoscopy and Colorectal Cancer;Thomas, Duncan C.
Missed;vervoort2004.pdf;Trends in the usage of adjuvant systemic therapy for breast cancer in the Netherlands and its effect on mortality.;Vervoort MM1, Draisma G, Fracheboud J, van de Poll-Franse LV, de Koning HJ.
Missed;vogelaar2006.pdf;How much can current interventions reduce colorectal cancer mortality in the US? Mortality projections for scenarios of risk-factor modification, screening, and treatment;Vogelaar, Iris, van Ballegooijen, Marjolein, Schrag, Deborah, Boer, Rob, Winawer, Sidney J., Habbema, J. Dik F., Zauber, Ann G.
Missed;whynes1999_2.pdf;Cost-effectiveness of faecal occult blood screening for colorectal cancer: results of the Nottingham trial.;
Missed;wu2009_3.pdf;Evaluation of breast cancer service screening programme with a Bayesian approach: mortality analysis in a Finnish region.;
