  Name;Auth;Journal/Year;Abstract;Keys;Pmid;Info
Annual Combined Mammography and Tomosynthesis Screening: Is It Really Cost-Effective?;Lee CI1,2,3, Lee JM1,3, Tosteson AN4.;AJR Am J Roentgenol. 2016 Nov.207(5):1156-1158. Epub 2016 Aug 17.;Abstract OBJECTIVE: Examining the comparative effectiveness of adding tomosynthesis to mammography screening in the United States would help key stakeholders, including physicians and policy makers, guide shared decision-making and recommendations for routine breast cancer screening. CONCLUSION: More robust data from U.S.-based longitudinal observational studies, clinical trials, or both are needed, along with the use of validated microsimulation models, before clinical- and cost-effectiveness of tomosynthesis screening versus mammography screening can be fully characterized.;Comment,Breast Neoplasms/diagnosis,Cost-Benefit Analysis,Early Detection of Cancer*,Humans,Mammography*,Mass Screening,Models, Theoretical;27533738;
Annual number of lung cancer deaths potentially avertable by screening in the United States.;;Cancer. 2013 Apr 1.119(7):1381-5. doi: 10.1002/cncr.27813. Epub 2013 Feb 25.;Abstract BACKGROUND: The National Lung Screening Trial (NLST), which was conducted between 2002 and 2009, demonstrated that screening with low-dose computed tomography (LDCT) reduced lung cancer mortality by 20% among screening-eligible populations compared with chest x-ray. In this article, the authors provide an estimate of the annual number of lung cancer deaths that can be averted by screening, assuming the screening regimens adopted in the NLST are fully implemented in the United States. METHODS: The annual number of lung cancer deaths that can be averted by screening was estimated as a product of the screening effect, the US population size (obtained from the 2010 US Census data), the prevalence of screening eligibility (estimated using the 2010 National Health Interview Survey [NHIS] data), and the lung cancer mortality rates among screening-eligible populations (estimated using the NHIS data from 2000-2004 and the third National Health and Nutrition Examination Survey linked mortality files). Analyses were performed separately by sex, age, and smoking status, with Poisson regression analysis used for mortality rate estimation. Uncertainty of the estimates of the number of avertable lung cancer deaths was quantified by simulation. RESULTS: Approximately 8.6 million Americans (95% confidence interval [95% CI], 8.0 million-9.2 million), including 5.2 million men (95% CI, 4.8 million-5.7 million) and 3.4 million women (95% CI, 3.0 million -3.8 million), were eligible for lung cancer screening in 2010. If the screening regimen adopted in the NLST was fully implemented among these screening-eligible US populations, a total of 12,250 (95% CI, 10,170-15,671) lung cancer deaths (8990 deaths in men and 3260 deaths in women) would be averted each year. CONCLUSIONS: The data from the current study indicate that LDCT screening could potentially avert approximately 12,000 lung cancer deaths per year in the United States. Further studies are needed to estimate the number of avertable lung cancer deaths and the cost-effectiveness of LDCT screening under different scenarios of risk, various screening frequencies, and various screening uptake rates. Copyright ¯õ? 2012 American Cancer Society.;Research Support, Non-U.S. Gov't,Aged,Early Detection of Cancer,Female,Humans,Lung Neoplasms/mortality*,Lung Neoplasms/prevention & control*,Male,Middle Aged,Smoking,Tomography, X-Ray Computed,United States/epidemiology;23440730;
Applying operations research to optimize a novel population management system for cancer screening;Zai, Adrian H., Kim, Seokjin, Kamis, Arnold, Hung, Ken, Ronquillo, Jeremiah G., Chueh, Henry C., Atlas, Steven J.;2014;;;WOS:000337672800020;
Are increases in mammographic screening still a valid explanation for trends in breast cancer incidence in the United States?,1995,Cancer Causes and Control ; Wun L.-M., Feuer E.J., Miller B.A. ;; A number of studies have attributed much of the sharp increase in breast cancer incidence in the United States during the 1980s to the increased detection through mammography. The most recent breast cancer data from the US National Cancer Institute's Surveillance, Epidemiology, and End Results (SEER) program show that the incidence trend has slowed, while results from the National Health Interview Survey (NHIS) of 1987 and 1990 indicate that the percentage of women receiving mammograms continues to increase. This phenomenon suggested the need to reassess the relationship between increasingly early detection of breast cancer and overall incidence trends. A polynomial age-cohort model was used to establish the secular trend in incidence rates excluding the impact of recent increases in detection due to the rising use of mammography. Based on the model, the incidence trend in the youngest age group (40 to 49 years) would peak and then begin to decline in the early 1980s. This pattern would manifest itself later in successively older age groups as these younger cohorts age. Breast cancer trends are seen to be generally consistent with the impact of the increased use of mammography when its effect is superimposed upon the background of declining or slowing secular trends. These results support previous reports linking incidence rates with the increase in screening-mammography. ? 1995 Rapid Communications of Oxford Ltd. ; Age-cohort model, breast cancer incidence, lead-time effect, screening-mammography, secular trend, United States,age, article, breast cancer, cancer screening, dose time effect relation, female, human, mammography, priority journal, united states, Adult, Aged, Breast Neoplasms, Cohort Studies, Female, Human, Incidence, Mammography, Middle Age, Models, Statistical, United States ; ;
Bayesian assessment of times to diagnosis in breast cancer screening;Armero, Carmen, Lopez-Quilez, Antonio, Lopez-Sanchez, Rut;2008;;;WOS:000258090800006;
Bayesian negative-binomial-family-based multistate Markov model for the evaluation of periodic population-based cancer screening considering incomplete information and measurement errors;Hsu, Chen-Yang, Yen, Ming-Fang, Auvinen, Anssi, Chiu, Yueh-Hsia, Chen, Hsiu-Hsi;2018;;;WOS:000438616300019;
Benefits and costs of using HPV testing to screen for cervical cancer.;Mandelblatt JS1, Lawrence WF, Womack SM, Jacobson D, Yi B, Hwang YT, Gold K, Barter J, Shah K.;JAMA. 2002 May 8.287(18):2372-81.;Abstract CONTEXT: Despite quality assurance standards, Papanicolaou (Pap) test characteristics remain less than optimal. OBJECTIVE: To compare the societal costs and benefits of human papillomavirus (HPV) testing, Pap testing, and their combination to screen for cervical cancer. DESIGN, SETTING, AND POPULATION: A simulation model of neoplasia natural history was used to estimate the societal costs and quality-adjusted life expectancy associated with 18 different general population screening strategies: Pap plus HPV testing, Pap testing alone, and HPV testing alone every 2 or 3 years among hypothetical longitudinal cohorts of US women beginning at age 20 years and continuing to 65 years, 75 years, or death. MAIN OUTCOME MEASURE: Discounted costs per quality-adjusted life-year (QALY) saved of each screening strategy. RESULTS: Maximal savings in lives were achieved by screening every 2 years until death with combined HPV and Pap testing at an incremental cost of $76 183 per QALY compared with Pap testing alone every 2 years. Stopping biennial screening with HPV and Pap testing at age 75 years captures 97.8% of the benefits of lifetime screening at a cost of $70 347 per QALY. Combined biennial HPV and Pap testing to age 65 years captures 86.6% of the benefits achievable by continuing to screen until age 75 years. Human papillomavirus screening alone was equally effective as Pap testing alone at any given screening interval or age of screening cessation but was more costly and therefore was dominated. In sensitivity analyses, HPV testing would be more effective and less costly than Pap testing at a cost threshold of $5 for an HPV test. CONCLUSIONS: Screening with HPV plus Pap tests every 2 years appears to save additional years of life at reasonable costs compared with Pap testing alone. Applying age limits to screening is a viable option to maintain benefits while reducing costs.;Research Support, U.S. Gov't, Non-P.H.S.,Research Support, U.S. Gov't, P.H.S.,Adult,Aged,Cervical Intraepithelial Neoplasia/diagnosis,Cervical Intraepithelial Neoplasia/economics,Cervical Intraepithelial Neoplasia/prevention & control,Cervical Intraepithelial Neoplasia/virology,Cost-Benefit Analysis,DNA, Viral/analysis,Female,Humans,Mass Screening/economics*,Mass Screening/methods,Middle Aged,Models, Theoretical,Papanicolaou Test*,Papillomaviridae/isolation & purification*,Papillomavirus Infections/diagnosis*,Polymerase Chain Reaction/economics,Quality-Adjusted Life Years,Tumor Virus Infections/diagnosis*,United States,Uterine Cervical Neoplasms/diagnosis,Uterine Cervical Neoplasms/economics,Uterine Cervical Neoplasms/prevention & control*,Uterine Cervical Neoplasms/virology*,Vaginal Smears/economics*,DNA, Viral,R01-AG15340/AG/NIA NIH HHS/United States;11988058;
BIENNIAL LUNG CANCER SCREENING BY LOW-DOSE CT SCAN - A SIMULATION OF COST EFFECTIVENESS IN CANADA;Goffin, John R., Flanagan, William M., Miller, Anthony B., Liu, Fei Fei, Cressman, Sonya, Fitzgerald, Natalie, Fung, Sharon, Wolfson, Michael C., Evans, William;2013;;;WOS:000339624900179;
Breast cancer incidence trends in Norway and estimates of overdiagnosis.;van Luijt PA1, Heijnsdijk EA1, van Ravesteyn NT1, Hofvind S2, de Koning HJ1.;J Med Screen. 2017 Jun.24(2):83-91. doi: 10.1177/0969141316668379. Epub 2016 Oct 17.;Abstract Objective Fluctuations in the incidence of breast cancer in Norway in the last three decades are partly explained by the use of hormone replacement therapy and mammography screening, but overdiagnosis has also been suggested as a cause. We assessed the trends in breast cancer incidence and overdiagnosis in Norway. Methods We calibrated our microsimulation model to Norwegian Cancer Registration data. The model takes into account the use of mammography (both within and outside the Norwegian Breast Cancer Screening Programme) and of hormone replacement therapy. We obtained a proper fit of breast cancer incidence in recent years, when assuming an increase in the background risk for breast cancer, and estimated overdiagnosis. Results We estimated a 2% overdiagnosis rate as a fraction of all cancers diagnosed in women aged 50-100, and a 3% overdiagnosis rate as a fraction of all cancers diagnosed in women aged 50-70 (i.e. screening age). If all of the increased incidence would be the result of the detection of slow growing tumours, these estimates were 7% and 11%, respectively. Conclusion Besides mammography and hormone replacement therapy use, additional risk factors contributed to the sudden increase in breast cancer incidence in Norway. Overdiagnosis estimates due to screening were within the range of international plausible estimates.;Aged,Aged, 80 and over,Breast Neoplasms/diagnosis*,Breast Neoplasms/epidemiology,Calibration,Early Detection of Cancer/methods,Female,Hormones/therapeutic use,Humans,Incidence,Mammography/methods*,Mass Screening/methods*,Medical Overuse*,Middle Aged,Norway/epidemiology,Registries,Risk Factors,Hormones;27754936;
Breast cancer risk assessment in women aged 70 and older.;Vacek PM1, Skelly JM, Geller BM.;Breast Cancer Res Treat. 2011 Nov.130(1):291-9. doi: 10.1007/s10549-011-1576-1. Epub 2011 May 22.;Abstract Although the benefit of screening mammography for women over 69 has not been established, it is generally agreed that screening recommendations for older women should be individualized based on health status and breast cancer risk. However, statistical models to assess breast cancer risk have not been previously evaluated in this age group. In this study, the original Gail model and three more recent models that include mammographic breast density as a risk factor were applied to a cohort of 19,779 Vermont women aged 70 and older. Women were followed for an average of 7.1 years and 821 developed breast cancer. The predictive accuracy of each risk model was measured by its c-statistic and associations between individual risk factors and breast cancer risk were assessed by Cox regression. C-statistics were 0.54 (95% CI = 0.52-0.56) for the Gail model, 0.54 (95% CI = 0.51-0.56) for the Tice modification of the Gail model, 0.55 (95% CI = 0.53-0.58) for a model developed by Barlow and 0.55 (95% CI = 0.53-0.58) for a Vermont model. These results indicate that the models are not useful for assessing risk in women aged 70 and older. Several risk factors in the models were not significantly associated with outcome in the cohort, while others were significantly related to outcome but had smaller relative risks than estimated by the models. Age-related attenuation of the effects of some risk factors makes the prediction of breast cancer in older women particularly difficult.;Research Support, Non-U.S. Gov't,Aged,Aged, 80 and over,Breast Neoplasms/epidemiology*,Breast Neoplasms/pathology,Cohort Studies,Female,Humans,Incidence,Models, Statistical,Prevalence,Risk Assessment,Risk Factors;21604157;
Breast cancer risk prediction model: a nomogram based on common mammographic screening findings.;Timmers JM1, Verbeek AL, IntHout J, Pijnappel RM, Broeders MJ, den Heeten GJ.;Eur Radiol. 2013 Sep.23(9):2413-9. doi: 10.1007/s00330-013-2836-8. Epub 2013 Apr 18.;Abstract OBJECTIVES: To develop a prediction model for breast cancer based on common mammographic findings on screening mammograms aiming to reduce reader variability in assigning BI-RADS. METHODS: We retrospectively reviewed 352 positive screening mammograms of women participating in the Dutch screening programme (Nijmegen region, 2006-2008). The following mammographic findings were assessed by consensus reading of three expert radiologists: masses and mass density, calcifications, architectural distortion, focal asymmetry and mammographic density, and BI-RADS. Data on age, diagnostic workup and final diagnosis were collected from patient records. Multivariate logistic regression analyses were used to build a breast cancer prediction model, presented as a nomogram. RESULTS: Breast cancer was diagnosed in 108 cases (31 %). The highest positive predictive value (PPV) was found for spiculated masses (96 %) and the lowest for well-defined masses (10 %). Characteristics included in the nomogram are age, mass, calcifications, architectural distortion and focal asymmetry. CONCLUSION: With our nomogram we developed a tool assisting screening radiologists in determining the chance of malignancy based on mammographic findings. We propose cutoff values for assigning BI-RADS in the Dutch programme based on our nomogram, which will need to be validated in future research. These values can easily be adapted for use in other screening programmes. KEY POINTS: ¢?÷ There is substantial reader variability in assigning BI-RADS in mammographic screening. ¢?÷ There are no strict guidelines linking mammographic findings to BI-RADS categories. ¢?÷ We developed a model (nomogram) predicting the presence of breast cancer. ¢?÷ Our nomogram is based on common findings on positive screening mammograms. ¢?÷ The nomogram aims to assist screening radiologists in assigning BI-RADS categories.;Age Factors,Aged,Algorithms,Breast Neoplasms/diagnosis*,Decision Support Techniques,Female,Humans,Mammography/methods*,Mass Screening/methods,Middle Aged,Multivariate Analysis,Netherlands,Nomograms,Observer Variation,Odds Ratio,Predictive Value of Tests,Probability,ROC Curve,Reproducibility of Results,Retrospective Studies;23591619;
BREAST CANCER SCREENING PROGRAM IN THE BASQUE COUNTRY: COSTS AND HEALTH BENEFITS ASESSMENT THROUGH DISCRETE EVENT SIMULATION;Arrospide, A., Mar, J., Comas, M., Rue, M., Larranaga, N., Acaiturri, T., Sarriugarte, G.;2013;;;WOS:000326247600426;
Breast cancer: computer simulation method for estimating optimal intervals for screening.;;Radiology. 1999 Aug.212(2):551-60.;Abstract PURPOSE: To develop and evaluate a mathematic method that can be used to determine the optimal screening interval for detection of breast cancer prior to distant metastatic spread. MATERIALS AND METHODS: A computer simulation was developed with the use of biologically based data from the literature on the rates of tumor growth and spread, which can be used to calculate the course of breast cancer growth and metastasis. RESULTS: On the basis of the data available at this time, the results of the simulations suggested that a screening interval of 2 years would result in a 22% reduction in the rate of distant metastatic disease, an interval of 1 year would result in a 51% reduction, and an interval of 6 months would result in an 80% reduction. CONCLUSION: These findings suggest that more frequent screening could dramatically reduce the death rate from breast cancer.;Appointments and Schedules,Breast Neoplasms/epidemiology,Breast Neoplasms/prevention & control*,Computer Simulation*,Cost-Benefit Analysis,Female,Humans,Incidence,Mammography*/statistics & numerical data,Mammography*/utilization,Mass Screening*/statistics & numerical data,Middle Aged,Models, Theoretical,Neoplasm Metastasis,Probability,Time Factors;10429717;
