  Name;Auth;Journal/Year;Abstract;Keys;Pmid;Info
Cost-effectiveness of human papillomavirus vaccination in Belgium: do not forget about cervical cancer screening.;Thiry N1, De Laet C, Hulstaert F, Neyt M, Huybrechts M, Cleemput I.;Int J Technol Assess Health Care. 2009 Apr.25(2):161-70. doi: 10.1017/S0266462309090217.;Abstract OBJECTIVES: The cost-effectiveness of adding a human papillomavirus (HPV) vaccination program in 12-year-old females to the recommended cervical cancer screening in Belgium is examined. Moreover, the health and economic consequences of a potential decline in screening uptake after initiation of a HPV vaccination program are investigated. METHODS: A static Markov model is developed to estimate the direct effect of vaccination on precancerous lesions and cervical cancers. RESULTS: Vaccination is estimated to avoid 20 percent of the cervical cancers occurring in a 12-year-old girls' cohort and to cost 32,665 euro per quality-adjusted life-year (QALY) gained (95 percent credibility interval [CrI]: 17,447 euro to 68,078 euro), assuming a booster injection after 10 years, a limited duration of protection and discounting costs and effects at 3 percent and 1.5 percent, respectively. Assuming lifelong protection, HPV vaccination is estimated to cost 14,382 euro (95 percent CrI: 9,238 euro to 25,644 euro) per QALY gained, while avoiding 50 percent of the cervical cancer cases. In the base-case, a 10 percent reduction in screening compliance after vaccination obliterates the effect of vaccination on cervical cancer cases avoided, whereas further declines in the level of screening compliance even turned out to be detrimental for the cohort's health, inducing a mean loss in QALYs and life-year gained compared with the situation prevaccination. CONCLUSIONS: An HPV vaccination program should only be considered if the level of screening after vaccination can be maintained.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Belgium/epidemiology,Child,Cohort Studies,Cost-Benefit Analysis,Female,Health Care Costs/statistics & numerical data,Humans,Markov Chains,Mass Screening/economics,Mass Screening/utilization,Papillomavirus Vaccines/administration & dosage,Papillomavirus Vaccines/economics*,Quality-Adjusted Life Years,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/epidemiology,Uterine Cervical Neoplasms/prevention & control*,Vaccination/economics*,Papillomavirus Vaccines;19366497;
Early detection and treatment strategies for breast cancer in low-income and upper middle-income countries: a modelling study;Birnbaum, Jeanette K., Duggan, Catherine, Anderson, Benjamin O., Etzioni, Ruth;LANCET GLOBAL HEALTH,2018;;;WOS:000438821600023;
Economic evaluation of policy options for prevention and control of cervical cancer in Thailand.;Praditsitthikorn N1, Teerawattananon Y, Tantivess S, Limwattananon S, Riewpaiboon A, Chichareon S, Ieumwananonthachai N, Tangcharoensathien V.;Pharmacoeconomics. 2011 Sep.29(9):781-806. doi: 10.2165/11586560-000000000-00000.;Abstract BACKGROUND: The Thai healthcare setting has seen patients with cervical cancer experience an increasing burden of morbidity and mortality, a stagnation in the performance of cervical screening programmes and the introduction of a vaccine for the prevention of human papillomavirus (HPV) infection. OBJECTIVE: This study aims to identify the optimum mix of interventions that are cost effective, from societal and healthcare provider perspectives, for the prevention and control of cervical cancer. METHODS: A computer-based Markov model of the natural history of cervical cancer was used to simulate an age-stratified cohort of women in Thailand. The strategy comparators, including both control and prevention programmes, were (i) conventional cytology screening (Pap smears). (ii) screening by visual inspection with acetic acid (VIA). and (iii) HPV-16, -18 vaccination. Input parameters (e.g. age-specific incidence of HPV infection, progression and regression of the infection, test performance of screening methods and efficacy of vaccine) were synthesized from a systematic review and meta-analysis. Costs (year 2007 values) and outcomes were evaluated separately, and compared for each combination. The screening strategies were started from the age of 30-40 years and repeated at 5- and 10-year intervals. In addition, HPV vaccines were introduced at age 15-60 years. RESULTS: All of the screening strategies showed certain benefits due to a decreased number of women developing cervical cancer versus 'no intervention'. Moreover, the most cost-effective strategy from the societal perspective was the combination of VIA and sequential Pap smear (i.e., VIA every 5 years for women aged 30-45 years, followed by Pap smear every 5 years for women aged 50-60 years). This strategy was dominant, with a QALY gain of 0.01 and a total cost saving of Baht (Bt) 800, compared with doing nothing. From the societal perspective, universal HPV vaccination for girls aged 15 years without screening resulted in a QALY gain of 0.06 at an additional cost of Bt 8,800, based on the cost of Bt 15,000 for a full immunization schedule. The incremental cost-effectiveness ratio, comparing HPV vaccinations for girls aged 15 years with the current national policy of Pap smears for women aged 35-60 years every 5 years, was approximately Bt 18,1000 per QALY gained. This figure was relatively high for the Thai setting. CONCLUSIONS: The results suggest that controlling cervical cancer by increasing the numbers of women accepting the VIA and Pap smear screening as routine and by improving the performance of the existing screening programmes is the most cost-effective policy option in Thailand.;Research Support, Non-U.S. Gov't,Acetic Acid,Adolescent,Adult,Cost-Benefit Analysis,Female,Health Policy/economics*,Humans,Markov Chains,Mass Screening/economics,Mass Screening/methods*,Middle Aged,Models, Economic*,Papanicolaou Test,Papillomavirus Infections/prevention & control,Papillomavirus Infections/virology,Papillomavirus Vaccines/administration & dosage*,Papillomavirus Vaccines/economics,Quality-Adjusted Life Years,Thailand,Uterine Cervical Neoplasms/diagnosis,Uterine Cervical Neoplasms/economics,Uterine Cervical Neoplasms/prevention & control*,Vaginal Smears/economics,Vaginal Smears/methods,Young Adult,Papillomavirus Vaccines,Acetic Acid;21838332;
Effect of Time to Diagnostic Testing for Breast, Cervical, and Colorectal Cancer Screening Abnormalities on Screening Efficacy: A Modeling Study;Rutter, Carolyn M., Kim, Jane J., Meester, Reinier G. S., Sprague, Brian L., Burger, Emily A., Zauber, Ann G., Ergun, Mehmet Ali, Campos, Nicole G., Doubeni, Chyke A., Trentham-Dietz, Amy, Sy, Stephen, Alagoz, Oguzhan, Stout, Natasha, Lansdorp-Vogelaar, Iris, Corley, Douglas A., Tosteson, Anna N. A.;CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,2018;;;WOS:000424116400005;
Estimated effects of the National Breast and Cervical Cancer Early Detection Program on breast cancer mortality.;Hoerger TJ1, Ekwueme DU, Miller JW, Uzunangelov V, Hall IJ, Segel J, Royalty J, Gardner JG, Smith JL, Li C.;Am J Prev Med. 2011 Apr.40(4):397-404. doi: 10.1016/j.amepre.2010.12.017.;Abstract BACKGROUND: The National Breast and Cervical Cancer Early Detection Program (NBCCEDP) provides breast cancer screening to medically underserved, low-income women aged 40-64 years. No study has evaluated NBCCEDP's effect on breast cancer mortality. PURPOSE: This study estimates life-years saved by NBCCEDP breast cancer screening compared with screening in the absence of NBCCEDP and with no screening. METHODS: A breast cancer simulation model based on existing Cancer Intervention and Surveillance Modeling Network models was constructed. The screening module from these models was modified to reflect screening frequency for NBCCEDP participants. Screening data for uninsured women represented what would have happened without the program. Separate simulations were performed for women who received NBCCEDP (Program) screening, women who potentially received screening without the program (No Program), and women who received no screening (No Screening). The impact of NBCCEDP was estimated as the difference in life-years between the Program and No Program, and the Program and No Screening scenarios. The analysis was performed in 2008-2009. RESULTS: Among 1.8 million women who were screened between 1991 and 2006, the Program saved 100,800 life-years compared with No Program and 369,000 life-years compared with No Screening. Per woman screened, the Program saved 0.056 life-years (95% CI=0.031, 0.081) compared with No Program and 0.206 life-years (95% CI=0.177, 0.234) compared with No Screening. Per woman with invasive breast cancer and screen-detected invasive cancer, the Program saved 0.41 and 0.71 life-years, respectively, compared with No Program. CONCLUSIONS: These estimates suggest that NBCCEDP breast cancer screening has reduced mortality among medically uninsured and underinsured low-income women. Published by Elsevier Inc.;Research Support, U.S. Gov't, P.H.S.,Adult,Breast Neoplasms/diagnosis*,Breast Neoplasms/mortality,Computer Simulation*,Early Detection of Cancer/methods,Female,Humans,Mass Screening/methods*,Medically Uninsured/statistics & numerical data*,Middle Aged,National Health Programs/statistics & numerical data,Poverty,United States,CC999999/Intramural CDC HHS/United States;21406272;
Evolution of multiple disease screening in Keelung: a model for community involvement in health interventions?;Wang PE1, Wang TT, Chiu YH, Yen AM, Chen TH.;J Med Screen. 2006.13 Suppl 1:S54-8.;Abstract OBJECTIVE: Screening for cancer and other chronic conditions tends to be conducted in independent programmes. that is, screening for one disease at a time. The Keelung community-based multiple disease screening programme, developed in Keelung city, Taiwan, is a notable exception. Here, we report on the Keelung programme's ethos and development within the community, focusing on equity of delivery of the service, and community involvement. In addition, we present some preliminary cost-effectiveness analyses of multiple disease screening. METHODS: The Keelung programme offers screening for breast, colorectal and liver cancers, cervical and oral neoplasia, all of which have an evidence base for their efficacy, and for diabetes, hypertension, osteoporosis and hyperlipidaemia, which are of unknown efficacy. We assessed variability of coverage rates of the Keelung Community-based Integrated Screening (KCIS) programme with age and socioeconomic status, availability of facilities for referral of positive screenees, and numbers of community social workers, general practitioners and local hospitals involved in the programme. We also assessed in qualitative terms how the programme interacts with non-health agencies. Finally, we simulated activities and costs for a variety of single- and multiple-disease screening situations. RESULTS: Between 1999 and 2003, coverage increased overall from 14.7 to 34.4%, and increased most dramatically in people aged 60-79 years (from around 30 to 60%) and in those of lower educational status (from around 40 to 70%). There was a significant growth in the involvement of social workers and volunteers in the programme, and an increase in the availability of local diagnostic and care facilities for those screened positive. In addition, there was substantial involvement of non-health agencies in publicizing the programme. In the health economic simulations, compared with no screening, the extra costs to gain an additional life year were estimated as 667 US dollars, 608 US dollars, 4227 and 4789 US dollars for multiple screening with 100% attendance, multiple screening with 70% attendance, single disease screening with 100% attendance and single disease screening with 30% attendance at each programme (i.e. 74% attendance for at least one out of four programmes), respectively. CONCLUSIONS: The innovative design and outreach procedures of the KCIS have led to a growth in delivery of screening services to groups sometimes overlooked (equity), community involvement in health care (participation) and the use of non-health organizations for publicity and health education (collaboration). Simulation studies indicate that multiple disease screening may be more cost-effective than single disease screening.;Adult,Aged,Breast Neoplasms/diagnosis,Breast Neoplasms/prevention & control,Community Health Services/standards,Community Health Services/statistics & numerical data,Cost-Benefit Analysis,Female,Humans,Liver Neoplasms/diagnosis,Liver Neoplasms/prevention & control,Male,Mass Screening/economics,Mass Screening/methods*,Mass Screening/statistics & numerical data,Middle Aged,Mouth Neoplasms/diagnosis,Mouth Neoplasms/prevention & control,Neoplasms/diagnosis*,Neoplasms/prevention & control,Social Class,Taiwan,Uterine Cervical Neoplasms/diagnosis,Uterine Cervical Neoplasms/prevention & control;17227644;
Generalised cost-effectiveness analysis for breast cancer prevention and care in Hong Kong Chinese.;;;;Research Support, Non-U.S. Gov't,Adult,Aged,Antineoplastic Protocols,Asian Continental Ancestry Group,Breast Neoplasms/prevention & control*,Breast Neoplasms/therapy,Chemotherapy, Adjuvant/economics,Cost-Benefit Analysis/methods*,Early Detection of Cancer/economics*,Early Detection of Cancer/methods,Female,Health Care Costs*,Hong Kong,Humans,Immunotherapy/economics,Mammography/economics,Markov Chains,Middle Aged,Quality-Adjusted Life Years,Radiotherapy, Adjuvant/economics;26645875;
How much can current interventions reduce colorectal cancer mortality in the US? Mortality projections for scenarios of risk-factor modification, screening, and treatment;Vogelaar, Iris, van Ballegooijen, Marjolein, Schrag, Deborah, Boer, Rob, Winawer, Sidney J., Habbema, J. Dik F., Zauber, Ann G.;CANCER,2006;;;WOS:000240909400026;
Identifying target populations for screening or not screening using logic regression;Janes H., Pepe M., Kooperberg C., Newcomb P.;2005,Statistics in Medicine;Colorectal cancer remains a significant public health concern despite the fact that effective screening procedures exist and that the disease is treatable when detected at early stages. Numerous risk factors for colon cancer have been identified, but none are very predictive alone. We sought to determine whether there are certain combinations of risk factors that distinguish well between cases and controls, and that could be used to identify subjects at particularly high or low risk of the disease to target screening. Using data from the Seattle site of the Colorectal Cancer Family Registry, we fit logic regression models to combine risk factor information. Logic regression is a methodology that identifies subsets of the population, described by Boolean combinations of binary coded risk factors. This method is well suited to situations in which interactions between many variables result in differences in disease risk. We found that neither the logic regression models nor stepwise logistic regression models fit for comparison resulted in criteria that could be used to direct subjects to screening. However, we believe that our novel statistical approach could be useful in settings where risk factors do discriminate between cases and controls, and illustrate this with a simulated data set. Copyright ? 2004 John Wiley & Sons, Ltd.;Colon cancer, Logic regression, Prediction, ROC curve, Sensitivity, Specificity;;
Introducing HPV vaccine and scaling up screening procedures to prevent deaths from cervical cancer in Japan: a cost-effectiveness analysis.;Yamamoto N1, Mori R, Jacklin P, Osuga Y, Kawana K, Shibuya K, Taketani Y.;BJOG. 2012 Jan.119(2):177-86. doi: 10.1111/j.1471-0528.2011.03036.x. Epub 2011 Jul 28.;Abstract OBJECTIVE: To assess the cost-effectiveness of universal vaccination of 11-year-old girls against human papillomavirus (HPV) infection and increased screening coverage to prevent cervical cancer in Japan where the coverage of Papanicolaou smears is very low. DESIGN: A cost-utility analysis from a societal perspective. SETTING: Japan, 2010. POPULATION: The female Japanese population aged 11 years or older. METHODS: A Markov model of the natural history of cervical cancer was constructed to compare six strategies: i.e. a screening coverage rate of 20, 50 and 80% with and without routine vaccination at age 11. MAIN OUTCOME MEASURES: Cervical cancer incidence, quality-adjusted life years (QALYs), costs and incremental cost-effectiveness ratios. RESULTS: Expanding the coverage of Papanicolaou smears from the current level of 20-50 and 80% yields a 45.5 and 63.1% reduction in cervical cancer incidence, respectively. Impact of combined strategies increases with coverage. Coverages of 20, 50 and 80% showed a 66.1, 80.9 and 86.8% reduction in disease, respectively. The costs of strategies with vaccination are four times higher than the cost of strategies without vaccination. Vaccinating all 11-year-old girls with bivalent vaccines with a Papanicolaou smear coverage rate of 50% is likely to be the most cost-effective option among the six strategies. CONCLUSIONS: The introduction of HPV vaccination in Japan is cost-effective as in other countries. It is more cost-effective to increase the coverage of the Papanicolaou smear along with the universal administration of HPV vaccine. ¯õ? 2011 The Authors BJOG An International Journal of Obstetrics and Gynaecology ¯õ? 2011 RCOG.;Research Support, Non-U.S. Gov't,Child,Cost-Benefit Analysis,Early Detection of Cancer/economics*,Female,Humans,Japan/epidemiology,Papillomavirus Infections/economics*,Papillomavirus Infections/mortality,Papillomavirus Infections/prevention & control,Papillomavirus Vaccines/economics*,Prognosis,Quality-Adjusted Life Years,Risk Factors,Survival Rate,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/mortality,Uterine Cervical Neoplasms/virology,Vaccination/economics,Papillomavirus Vaccines;21794070;
Is human papillomavirus screening preferable to current policies in vaccinated and unvaccinated women? A cost-effectiveness analysis.;Accetta G1, Biggeri A, Carreras G, Lippi G, Carozzi FM, Confortini M, Zappa M, Paci E.;J Med Screen. 2010.17(4):181-9. doi: 10.1258/jms.2010.010019.;Abstract OBJECTIVES: Italy was the first European nation to offer free vaccination against human papillomavirus (HPV) types 16 and 18. The vaccination is actively encouraged and is available free of charge to 11-year-old girls. The introduction of new technologies such as HPV DNA testing and HPV vaccination requires cost-effectiveness analysis of cervical cancer strategies in Italy for both vaccinated and unvaccinated women. METHODS: A calibrated Markov model was developed to describe the natural history of HPV infection and cervical carcinogenesis. We performed a microsimulation generating the life histories of 10 million women. Changes in these life histories occur as consequences of prevention strategies. We estimated costs of screening activities using an activity-based costing analysis. We assessed lifetime risk due to cervical cancer, lifetime costs and quality-adjusted life-expectancy (QALE) for 18 scenarios. Strategies varied by screening interval (three and five years), primary and triage test (Pap test and HPV DNA test), and HPV 16 and 18 vaccination. RESULTS: The current screening policy (Pap test every three years) is more costly and less effective than HPV DNA test and Pap test triage every five years. For unvaccinated women an HPV DNA test every five years with a Pap test triage was cost-effective (ICER ¯õ?5753/QALE). Vaccination followed by the same screening strategy was cost-effective (ICER ¯õ?23,951/QALE) for women who are eligible to be vaccinated. CONCLUSIONS: Our findings strongly support changing the Pap screening policy to the use of HPV DNA as a primary test with Pap test triage for both vaccinated and unvaccinated women.;Research Support, Non-U.S. Gov't,Adult,Cost-Benefit Analysis,Female,Humans,Mass Screening/economics*,Middle Aged,Papillomavirus Infections/diagnosis*,Papillomavirus Infections/immunology,Papillomavirus Vaccines*,Uterine Cervical Neoplasms/prevention & control,Uterine Cervical Neoplasms/virology,Vaginal Smears/economics*,Papillomavirus Vaccines;21258128;
Like mother, like daughter? Mother's history of cervical cancer screening and daughter's Human Papillomavirus vaccine uptake in Flanders (Belgium).;Lefevere E1, Hens N, Theeten H, Van den Bosch K, Beutels P, De Smet F, Van Damme P.;Vaccine. 2011 Oct 26.29(46):8390-6. doi: 10.1016/j.vaccine.2011.08.039. Epub 2011 Aug 19.;Abstract OBJECTIVE: We investigated whether and to what extent the uptake of the Human Papillomavirus (HPV) vaccine by girls aged 12-18 was related to the cervical cancer screening history of age-appropriate older female household members (assumed to be their mothers) in Flanders (Belgium). METHODS: We studied administrative records on 127,854 female members of the National Alliance of Christian Mutualities, which is the largest health insurance fund in Flanders. Reimbursement data for HPV vaccination of girls for the period 2007-2009 were linked with reimbursement data for cervical cancer screening of their mothers in the three preceding years. A multilevel logit model was used to study associations between both preventive behaviors. In the model we controlled for both the girl's and the mother's age, the province of residence and the socio-economic background of the family. RESULTS: A clear association between a mother's history of participation in cervical cancer screening and her daughter's HPV vaccination initiation was found. The conditional odds of HPV vaccination initiation were more than 4 times higher for girls whose mother had one Pap test than for girls whose mother had none (odds ratio [OR]=4.5. 95% confidence interval [CI]=3.5-5.9). For girls whose mother had three or more Pap tests, the conditional odds were 16 times higher than for girls whose mother did not have any pap tests ([OR]=16.0. 95% [CI]=12.1-21.2). The effect of screening (having received 1 pap smear as compared to none) was larger for girls living in neighborhoods with the lowest median income ([OR]=6.0, 95% [CI]=3.6-10.1). CONCLUSION: In a situation where both cervical cancer screening and HPV vaccination are opportunistic, we found evidence that these preventive behaviors cluster within families. Copyright ¯õ? 2011 Elsevier Ltd. All rights reserved.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Belgium,Child,Early Detection of Cancer/utilization*,Female,Humans,Middle Aged,Models, Statistical,Mothers,Nuclear Family,Papillomavirus Infections/diagnosis*,Papillomavirus Vaccines/administration & dosage*,Papillomavirus Vaccines/immunology*,Patient Acceptance of Health Care/statistics & numerical data*,Vaccination/utilization*,Papillomavirus Vaccines;21856360;
Modeling Individual Patient Preferences for Colorectal Cancer Screening Based on Their Tolerance for Complications Risk;Taksler, Glen B., Perzynski, Adam T., Kattan, Michael W.;MEDICAL DECISION MAKING,2017;;;WOS:000403054900003;
Modeling the impact of treatment and screening on U.S. breast cancer mortality: a Bayesian approach.;Berry DA1, Inoue L, Shen Y, Venier J, Cohen D, Bondy M, Theriault R, Munsell MF.;J Natl Cancer Inst Monogr. 2006.(36):30-6.;Abstract BACKGROUND: Breast cancer mortality (BCM) in the United States declined from 33.1 per 100,000 women in 1990 to 26.6 per 100,000 women in 2000, yielding a 19.6% relative decline in BCM since 1990. Our goal is to apportion this decline between screening and therapy and to be able to state with some certainty that these interventions affected this decline. METHODS: We started with an age-appropriate population of 2,000,000 women in 1975 and monitored these women through 2000. On the basis of population data each year, we assigned screening and breast cancer to women. If a woman was diagnosed with breast cancer, we simulated a lifetime for her with death from breast cancer, and we modified this lifetime depending on the use of adjuvant therapy and whether the cancer was screen-detected. A woman's lifetime was taken as the minimum of her lifetime with death from breast cancer and her simulated natural lifetime. We used Bayesian simulation modeling, which allows for associating probability distributions with our estimates. RESULTS: We calculated the probabilities that screening mammography and adjuvant therapy contributed to the observed decline in BCM to be 90% and 99%, respectively. The posterior mean reduction in BCM due to screening is 10.6% +/- 5.7% and due to therapy is 19.5% +/- 5.4%. The decrease in the hazard of BCM due to tamoxifen use for ER-positive tumors is 37% +/- 14% and that due to adjuvant (nontaxane) chemotherapy is 15% +/- 14%. DISCUSSION: The spread in our posterior distributions reflect the uncertainty present in the data sources available to us. However, despite this uncertainty we conclude a high probability that both screening and improvements in therapy contributed to the reduction in BCM observed in the United States from 1990 to 2000.;Research Support, N.I.H., Extramural,Age Distribution,Antineoplastic Combined Chemotherapy Protocols/therapeutic use*,Bayes Theorem,Breast Neoplasms/diagnosis*,Breast Neoplasms/drug therapy*,Breast Neoplasms/mortality,Chemotherapy, Adjuvant,Cohort Studies,Cross-Sectional Studies,Female,Humans,Mammography/statistics & numerical data*,Mass Screening/statistics & numerical data*,Models, Statistical*,Predictive Value of Tests,Risk Factors,Sensitivity and Specificity,Survival Rate,United States/epidemiology,U01-CA88278/CA/NCI NIH HHS/United States,U01CA63731/CA/NCI NIH HHS/United States,U01CA63736/CA/NCI NIH HHS/United States,U01CA63740/CA/NCI NIH HHS/United States,U01CA69976/CA/NCI NIH HHS/United States,U01CA70013/CA/NCI NIH HHS/United States,U01CA70040/CA/NCI NIH HHS/United States,U01CA86076/CA/NCI NIH HHS/United States,U01CA86082/CA/NCI NIH HHS/United States;17032892;
Models of cervical screening in the era of human papillomavirus vaccination.;Canfell K1.;Sex Health. 2010 Sep.7(3):359-67. doi: 10.1071/SH10016.;Abstract Epidemiologic and economic evaluation using simulation modelling can support complex policy decisions, and is an important tool in predicting the future interaction between human papillomavirus vaccination and cervical screening. Several categories of screening program evaluation are of interest, including: (1) changes to screening considered over the short term, over which the effects of vaccination should be confined to the youngest age groups (<30 years old). (2) the medium and long-term effect of vaccination on the screening program. and (3) changes to screening in context of vaccination. This review considers some of the policy questions in each category and discusses the modelling implications, with particular focus on the Australian context.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Age Factors,Aged,Australia,Child,Cross-Sectional Studies,Female,Humans,Mass Screening/utilization*,Mass Vaccination/utilization*,Middle Aged,Models, Theoretical*,Papillomavirus Infections/epidemiology*,Papillomavirus Infections/prevention & control*,Papillomavirus Vaccines/administration & dosage*,Program Evaluation/statistics & numerical data,Sexually Transmitted Diseases, Viral/epidemiology*,Sexually Transmitted Diseases, Viral/prevention & control*,Uterine Cervical Neoplasms/epidemiology*,Uterine Cervical Neoplasms/prevention & control*,Vaginal Smears/utilization*,Young Adult,Papillomavirus Vaccines;20719228;
Optimization of primary and secondary cervical cancer prevention strategies in an era of cervical cancer vaccination: a multi-regional health economic analysis.;Rogoza RM1, Ferko N, Bentley J, Meijer CJ, Berkhof J, Wang KL, Downs L, Smith JS, Franco EL.;Vaccine. 2008 Sep 15.26 Suppl 5:F46-58. doi: 10.1016/j.vaccine.2008.02.039.;Abstract With the recent advent of cervical cancer vaccines, many questions relating to the best overall prevention methods for cervical disease are beginning to arise. A Markov model was used across five geographic regions (Canada, The Netherlands, Taiwan, UK, US) to examine the clinical benefits and cost-effectiveness of: (1) vaccination combined with screening, considering changes to screening-related parameters and (2) vaccination combined with screening, considering changes to screening policy. Given the assumptions used in this analysis, adding vaccination to current screening is likely to be cost-effective in the regions studied. When considering vaccination with several plausible changes to screening programmes, locations with the most frequent Papanicolaou smear testing may achieve the most efficiency gains by adopting a less frequent screening interval or incorporating HPV testing into their screening practices. Although it may be beneficial to change screening to maximize efficiency, the most cost-effective strategies for vaccination and screening combinations may not lead to the greatest reductions in cervical cancer. therefore such policy decisions may vary depending on region-specific goals. Finally, new screening paradigms such as primary HPV testing should be considered in future analyses.;Female,Humans,Models, Econometric*,Papillomavirus Infections/economics*,Papillomavirus Infections/prevention & control*,Uterine Cervical Neoplasms/economics*,Uterine Cervical Neoplasms/prevention & control*,Vaccination/economics*;18992382;
Potential health and economic impact of adding a human papillomavirus vaccine to screening programs.;Kulasingam SL1, Myers ER.;JAMA. 2003 Aug 13.290(6):781-9.;Abstract CONTEXT: Recently published results suggest that effective vaccines against cervical cancer-associated human papillomavirus (HPV) may become available within the next decade. OBJECTIVE: To examine the potential health and economic effects of an HPV vaccine in a setting of existing screening. DESIGN, SETTING, AND POPULATION: A Markov model was used to estimate the lifetime (age 12-85 years) costs and life expectancy of a hypothetical cohort of women screened for cervical cancer in the United States. Three strategies were compared: (1) vaccination only. (2) conventional cytological screening only. and (3) vaccination followed by screening. Two of the strategies incorporated a vaccine targeted against a defined proportion of high-risk (oncogenic) HPV types. Screening intervals of 1, 2, 3, and 5 years and starting ages for screening of 18, 22, 24, 26, and 30 years were chosen for 2 of the strategies (conventional cytological screening only and vaccination followed by screening). MAIN OUTCOME MEASURES: Incremental cost per life-year gained. RESULTS: Vaccination only or adding vaccination to screening conducted every 3 and 5 years was not cost-effective. However, at more frequent screening intervals, strategies combining vaccination and screening were preferred. Vaccination plus biennial screening delayed until age 24 years had the most attractive cost-effectiveness ratio (44 889 dollars) compared with screening only beginning at age 18 years and conducted every 3 years. However, the strategy of vaccination with annual screening beginning at age 18 years had the largest overall reduction in cancer incidence and mortality at a cost of 236 250 dollars per life-year gained compared with vaccination and annual screening beginning at age 22 years. The cost-effectiveness of vaccination plus delayed screening was highly sensitive to age of vaccination, duration of vaccine efficacy, and cost of vaccination. CONCLUSIONS: Vaccination for HPV in combination with screening can be a cost-effective health intervention, but it depends on maintaining effectiveness during the ages of peak oncogenic HPV incidence. Identifying the optimal age for vaccination should be a top research priority.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Age Factors,Aged,Aged, 80 and over,Cervical Intraepithelial Neoplasia/pathology,Cervical Intraepithelial Neoplasia/prevention & control*,Cervical Intraepithelial Neoplasia/virology,Colposcopy/economics,Cost-Benefit Analysis,Disease Progression,Female,Humans,Life Expectancy,Markov Chains,Mass Screening/economics,Middle Aged,Models, Theoretical,Papillomaviridae*/immunology,Papillomaviridae*/isolation & purification,Papillomavirus Infections/pathology,Papillomavirus Infections/prevention & control*,Papillomavirus Vaccines*,Quality-Adjusted Life Years,Tumor Virus Infections/pathology,Tumor Virus Infections/prevention & control*,Uterine Cervical Neoplasms/pathology,Uterine Cervical Neoplasms/prevention & control*,Uterine Cervical Neoplasms/virology,Vaccination/economics*,Vaginal Smears/economics,Viral Vaccines/administration & dosage,Viral Vaccines/economics*,Papillomavirus Vaccines,Viral Vaccines;12915431;
Prevention of cervical cancer in rural China: evaluation of HPV vaccination and primary HPV screening strategies.;Canfell K1, Shi JF, Lew JB, Walker R, Zhao FH, Simonella L, Chen JF, Legood R, Smith MA, Nickson C, Qiao YL.;Vaccine. 2011 Mar 16.29(13):2487-94. doi: 10.1016/j.vaccine.2010.12.085. Epub 2011 Jan 4.;Abstract Comprehensive evaluation of the cost-effectiveness of HPV vaccination in China has not previously been performed. The objective of this study was to evaluate vaccination as an alternative or addition to primary HPV screening with careHPV (Qiagen, Gaithersburg, USA), and to assess the threshold total cost per vaccinated girl (CVG) at which strategies involving vaccination would become viable compared to screening-only strategies in rural China. We used data from field studies in Shanxi Province to support modelling of HPV vaccination and screening, including local information on sexual behaviour, HPV prevalence, test accuracy, treatment protocols and costs. We evaluated several strategies involving screening once or twice per lifetime or at regular 5-yearly intervals, with or without vaccination of young females at age 15 years, assuming 70% coverage for both screening and vaccination. We also predicted cross-sectional cancer incidence each year to the year 2050 for a range of strategies. We found that strategies involving vaccination would be cost-effective at CVGs of US$50-54 or less, but at CVGs >$54, screening-only strategies would be more cost-effective. If vaccination of young cohorts is combined with two rounds of careHPV screening for women aged 30-59 years in 2012 and 2027, a predicted indicative 33% reduction in cervical cancer incidence by 2030 would be sustained until 2050, with incidence rates decreasing thereafter. In conclusion, taking into account estimated vaccine delivery costs (for 3 doses), a per-dose HPV vaccine cost of approximately <$9-14 would be required for strategies involving vaccination to be cost-effective. Overall, combined screening and vaccination approaches are required to maximise outcomes in rural China.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Aged,Aged, 80 and over,Child,China/epidemiology,Cost-Benefit Analysis,Female,Humans,Mass Screening/methods*,Middle Aged,Models, Statistical,Papillomaviridae/isolation & purification*,Papillomavirus Vaccines/immunology*,Rural Population,Uterine Cervical Neoplasms/epidemiology*,Uterine Cervical Neoplasms/prevention & control*,Virology/methods*,Young Adult,Papillomavirus Vaccines;21211586;
Productivity Savings from Colorectal Cancer Prevention and Control Strategies;Bradley, Cathy J., Lansdorp-Vogelaar, Iris, Yabroff, Robin, Dahman, Bassam, Mariotto, Angela, Feuer, Eric J., Brown, Martin L.;AMERICAN JOURNAL OF PREVENTIVE MEDICINE,2011;;;WOS:000292958900001;
Simulating the Impact of Risk-Based Screening and Treatment on Breast Cancer Outcomes with MISCAN-Fadia;van den Broek, Jeroen J., van Ravesteyn, Nicolien T., Heijnsdijk, Eveline A., de Koning, Harry J.;MEDICAL DECISION MAKING,2018;;;WOS:000429896900006;
